'',0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,4,0,1,0,0,0,2,0,4,0,1,1,0,0,1,1,1,2,0,1,0,3,4,0,2,0,0,2,0,1,0,3,6,0,2,2,2,1,2,0,0,1,0,0,2,4,0,0,1,1,0,2,2,0,1,0,0
-LRB-,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,6,2,2,1,1,2,6,2,5,0,1,4,1,3,3,3,5,3,0,1,0,5,4,5,2,1,5,6,2,3,0,4,3,1,1,3,5,4,5,1,5,2,2,0,2,4,2,2,1,6,1,4,0,2,0,3,0
adverb,0,5,0,0,0,0,0,0,1,1,0,2,1,1,1,2,3,3,2,1,1,1,1,0,3,2,2,2,2,1,1,0,1,5,2,3,4,2,2,2,0,2,0,0,1,3,0,2,0,3,0,0,1,1,1,2,0,0
article,2,4,2,4,4,2,0,1,3,2,4,3,3,1,1,3,3,3,5,0,0,1,7,3,2,3,1,1,4,2,5,2,6,6,2,1,3,3,1,2,0,2,2,1,3,4,4,2,2,0,1,1,1,2,2,1,3,0
conjunction,5,9,3,2,2,3,1,2,1,4,2,3,8,0,3,4,7,8,6,0,0,1,7,6,4,5,2,3,9,6,5,3,5,8,1,5,8,6,5,9,1,6,3,1,3,4,10,3,4,4,3,3,2,3,1,2,5,0
noun,8,12,6,7,3,4,4,4,6,18,3,5,10,1,5,3,9,12,10,1,2,2,10,10,8,6,5,6,16,12,9,11,16,24,4,6,6,11,6,12,6,7,6,2,7,13,20,6,6,4,9,4,6,4,2,4,6,0
numeral,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
other,1,1,2,0,1,2,1,2,1,0,0,0,1,0,0,1,1,0,1,2,0,0,1,1,0,0,1,0,2,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,2,4,2,0,0,0,2,1,2,2,1,1,1,0
particle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,0,0,4,3,0,3,0,0,2,0,0,1,0,1,3,0,0,1,2,0,2,1,0,1,1,0,0,3,1,0,1,3,0,2,1,0,2,0,2,1,2,0,1,1,2,1,0,1,0,0,0,1,0,1,0,0
verb,4,4,2,2,6,5,0,6,1,1,2,7,6,1,3,6,7,6,4,4,2,1,5,7,3,4,3,4,3,9,6,1,4,11,3,7,8,3,4,7,5,6,4,4,3,7,9,4,3,3,2,2,4,4,2,4,2,0
