'',0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,1,1,2,0,0,0,0,0,0,0,1,0,3,0,1,0,4,2,1,1,0,0,2,3,2,1,1,1,1,0,0,3,0,0,0,2,4,2,1,0,3,2,1,1,1,0,1,0,1,1,1,2,1,0,0,1,1,1,0
:,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,3,0,0,0,2,1,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,0,0,3,1,0,0,1,3,3,4,1,1,1,0,2,0,7,1,1,3,0,1,3,0,6,0,2,2,1,0,0,4,4,0,0,1,4,1,0,3,3,4,0,2,0,1,3,3,2,0,2,1,1,1,1,5,2,1,0
adverb,0,1,0,2,2,1,0,0,0,3,0,2,2,1,0,5,1,3,4,1,2,3,1,0,4,0,2,3,2,0,0,1,5,2,1,0,3,0,3,1,3,4,2,1,3,1,3,0,1,1,0,2,1,2,2,2,0,1,2,0
article,2,2,2,5,2,1,0,2,1,0,3,1,0,4,2,3,3,2,2,3,3,0,1,3,2,2,2,3,2,3,1,0,4,3,2,1,2,3,3,2,4,4,2,4,2,0,1,3,4,1,2,1,2,2,2,1,0,2,2,0
conjunction,1,2,2,5,3,1,1,0,3,3,3,2,0,5,2,2,3,6,2,3,1,0,1,1,5,1,5,4,4,3,0,1,4,2,1,2,7,1,3,2,5,9,3,2,2,1,1,3,4,2,1,2,6,1,1,2,4,7,4,0
noun,3,4,3,10,5,2,0,3,5,3,6,2,3,14,2,5,2,9,5,3,4,0,4,4,6,5,9,7,5,6,1,1,12,5,4,4,10,9,5,3,4,15,6,7,3,2,4,5,9,7,3,3,11,3,8,3,11,9,3,0
numeral,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0
other,0,0,0,0,1,0,0,1,1,2,0,0,0,5,0,0,0,2,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0
particle,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,0,1,1,2,2,0,2,1,1,2,0,2,1,0,1,2,0,1,1,0,0,0,1,1,3,3,3,0,0,1,2,1,0,1,4,1,0,0,0,1,0,0,2,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0
verb,1,5,1,4,5,4,4,0,2,3,3,5,2,7,1,4,3,7,2,2,5,0,1,2,4,1,8,6,3,1,1,2,8,5,3,2,4,2,2,3,6,5,5,4,6,3,2,4,3,2,3,4,5,3,3,1,5,4,3,0
