,,0,0,1,0,3,1,2,0,0,1,0,2,0,2,0,1,0,0,0,0,2,0,1,4,1,0,0,0,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,2,1,2,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
adjective,1,2,1,0,2,1,3,1,0,1,2,0,1,3,0,1,2,2,1,0,5,2,5,1,1,2,0,1,2,0
adverb,3,1,0,1,3,0,2,0,0,1,2,4,1,0,4,0,2,0,4,0,0,2,0,0,2,0,0,3,0,0
article,1,3,0,3,2,2,1,1,2,2,0,0,2,4,2,3,1,4,1,2,3,1,1,9,0,4,1,5,0,1
conjunction,2,2,2,5,6,4,7,2,3,4,0,2,1,4,2,2,3,7,2,1,4,3,4,9,4,5,3,7,3,2
noun,5,4,2,5,12,6,6,1,8,11,1,3,6,9,2,3,2,11,2,5,4,4,10,30,6,7,5,9,2,7
numeral,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
other,1,1,0,0,0,0,2,0,0,1,0,0,0,2,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,1,0,1,1,0,1,1,1,1,0,3,1,1,1,1,2,1,2,0,0,1,1,1,1,0,0,1,1,0
verb,2,3,2,6,5,2,5,5,6,4,1,3,3,3,4,4,5,5,3,2,3,2,3,3,6,1,3,1,4,1
