,,0,1,0,1,1,2,0,1,0,0,1,0,1,0,0,2,2,1,1,3,3,0,1,0,0,0,1,1,3,0,0,4,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRP$,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
adjective,3,2,3,0,0,4,1,3,2,0,3,1,0,3,1,2,0,1,2,2,2,0,1,0,0,2,1,3,8,1,0,3,0,1,0
adverb,0,2,2,1,0,2,1,1,0,3,0,1,3,0,1,1,0,0,1,3,0,0,1,0,0,1,1,3,4,2,1,1,1,0,0
article,6,2,4,0,2,1,1,1,1,2,2,0,2,2,2,1,1,1,3,5,2,1,2,0,1,0,2,5,4,1,1,5,1,1,0
conjunction,3,2,3,3,2,9,0,3,1,3,6,2,1,1,2,4,0,2,4,4,3,1,3,2,0,3,3,6,9,0,2,5,3,2,0
noun,9,2,3,10,4,15,1,3,5,3,12,1,3,5,6,7,5,3,3,9,10,3,2,1,3,5,2,7,7,2,8,9,2,1,0
numeral,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
other,0,1,1,0,0,3,0,1,0,0,1,1,1,2,1,0,2,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,1,1,0
particle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
pronoun,0,3,2,0,1,2,0,2,0,2,0,2,0,0,0,0,0,0,2,3,1,0,2,0,0,1,2,0,2,0,0,3,0,0,0
verb,2,5,5,2,2,11,1,7,2,6,5,6,2,4,4,2,4,3,2,6,3,3,3,2,1,3,3,6,10,2,2,9,1,1,0
