'',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,2,1,0,2,2,0,0,0,0,0,1,0,0,2,1,0,1,0
-LRB-,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRP$,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
``,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
adjective,1,1,2,0,1,1,1,0,1,1,2,1,1,1,1,1,0,2,0
adverb,0,4,3,1,0,0,0,0,1,0,2,2,2,0,1,0,1,1,0
article,2,4,4,2,3,3,1,1,4,3,1,1,1,3,5,3,0,3,0
conjunction,2,4,6,1,3,4,3,1,4,2,1,6,0,2,4,4,0,4,0
noun,4,11,5,1,7,6,5,5,7,6,5,14,1,4,6,3,0,4,0
numeral,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
other,0,3,0,1,0,1,1,1,0,0,1,3,0,0,0,0,0,1,0
pronoun,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1,1,2,3,0
verb,1,6,2,2,4,2,2,1,4,1,1,7,2,1,6,1,2,5,0
