,,3,3,1,1,0,0,3,1,1,1,1,1,1,0,2,1,3,1,3,1,1,1,3,5,1,2,2,8,0,1,0
-LRB-,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
:,1,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0
RBR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,4,0,3,3,0,1,5,3,5,2,1,4,4,3,3,3,4,5,3,4,1,3,4,8,4,2,5,2,0,2,0
adverb,2,2,5,0,0,0,2,1,0,0,1,0,2,0,1,0,3,2,1,0,2,0,3,1,0,5,1,0,0,0,0
article,6,2,3,3,0,3,4,2,5,5,2,3,3,5,3,4,4,4,5,5,3,1,5,11,2,6,6,1,1,2,0
conjunction,6,5,4,3,1,3,5,5,8,3,2,2,2,3,7,4,7,5,5,7,3,3,6,7,7,8,7,4,2,2,0
noun,8,10,7,12,1,5,11,7,11,9,3,4,7,4,7,7,14,5,8,8,8,5,14,14,7,10,12,14,5,5,0
numeral,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
other,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,1,0,0,0,2,0,2,3,0,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pronoun,0,1,0,0,2,1,3,0,0,0,1,0,2,0,2,1,1,3,0,0,0,0,3,3,0,5,0,0,0,3,0
verb,2,2,4,2,1,3,3,2,2,1,3,4,5,3,3,5,7,5,4,2,2,3,10,6,3,12,4,3,2,4,0
