$,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,2,5,4,1,7,1,1,2,1,0,4,6,1,2,3,3,4,4,7,7,3,0,2,7,5,1,0
-LRB-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,2,0,0
PRP$,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,5,0,0,0,2,2,2,0,0,0,0,0,0
adjective,6,1,1,1,3,8,4,3,2,1,1,2,3,1,2,1,4,4,1,3,14,4,3,2,5,6,4,0
adverb,1,2,1,0,2,4,0,0,3,2,0,1,3,0,2,0,0,2,2,1,2,1,0,0,1,2,0,0
article,5,5,1,7,4,5,2,3,7,2,3,7,3,4,3,1,6,10,2,4,11,5,0,3,8,4,2,0
conjunction,8,3,3,9,3,15,2,3,12,2,5,9,3,8,3,5,5,8,1,7,14,6,0,5,15,4,5,0
noun,19,6,9,14,6,14,5,7,13,3,7,13,8,7,6,7,14,13,7,10,20,12,1,12,20,12,7,0
numeral,3,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
other,1,1,0,1,1,1,0,0,0,2,2,2,1,0,0,0,2,1,0,0,2,2,0,1,0,1,1,0
particle,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
pronoun,0,1,1,1,0,1,0,0,2,1,0,1,2,1,2,1,2,1,0,1,0,2,1,1,0,0,1,0
verb,3,5,4,5,2,7,1,2,9,4,2,3,4,3,5,1,5,3,4,6,10,8,1,4,8,3,4,0
