,,5,1,1,1,2,5,5,1,1,4,2,1,2,1,1,0,4,2,3,1,0,1,1,3,1,1,1,1,6,3,4,2,1,1,3,4,1,0,2,0,4,1,4,1,1,1,2,0,0,0,5,1,0,0,0
-LRB-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
-RRB-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRP$,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,8,1,4,0,2,3,0,3,3,6,3,2,1,3,5,1,7,2,5,3,0,2,2,5,3,2,3,3,4,0,3,0,0,2,4,5,3,0,5,2,5,3,2,1,0,5,6,2,1,1,5,4,3,1,0
adverb,0,0,1,1,3,1,1,0,4,1,0,0,1,2,2,2,5,1,0,0,1,0,3,3,2,0,3,2,1,2,2,5,0,0,1,1,0,1,3,0,1,1,1,1,1,1,3,2,2,3,0,2,2,0,0
article,3,1,2,2,2,2,1,0,4,4,3,3,0,2,2,1,5,2,1,2,0,0,1,5,6,5,3,5,1,2,4,2,1,2,0,0,0,1,1,3,4,1,8,2,0,3,2,4,0,1,0,1,8,0,0
conjunction,7,1,4,6,3,4,2,1,5,11,1,1,7,7,3,0,5,4,3,5,1,4,1,6,6,6,4,8,4,5,6,4,1,3,1,4,3,0,8,3,9,7,10,2,2,4,4,4,2,3,4,1,5,1,0
noun,8,4,4,6,7,7,9,5,9,11,5,5,11,9,5,2,12,9,7,4,2,8,1,7,8,6,7,9,7,4,4,5,2,6,0,1,3,2,8,7,12,10,27,4,6,6,7,7,3,1,6,6,8,1,0
numeral,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
other,1,0,2,0,1,1,0,0,0,2,2,0,0,1,1,1,4,1,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
pronoun,1,0,3,2,4,1,1,0,1,2,0,0,4,4,1,0,3,2,2,2,1,1,1,2,2,1,0,0,1,1,1,0,0,1,1,2,1,1,0,0,1,1,0,2,0,0,0,0,0,4,1,1,1,2,0
verb,3,2,5,7,3,1,3,1,6,4,3,1,6,11,3,2,8,5,4,6,2,6,3,5,4,7,6,4,5,2,1,0,0,5,3,7,6,1,5,4,5,5,5,4,2,2,3,2,2,2,3,3,8,2,0
