,,1,0,0,0,1,3,2,0,6,0,2,4,3,3,2,2,1,0,2,2,5,1,3,2,0,2,4,0,2,4,5,2,0,4,0,3,5,1,1,4,2,1,0,2,2,0,5,3,3,5,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
PRP$,0,2,1,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,1,1,0,0,0,1,2,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
RBR,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,1,2,1,5,1,4,0,7,1,3,1,2,4,4,2,0,0,1,3,5,0,0,3,1,2,2,2,3,6,3,5,0,2,3,2,4,1,4,2,2,2,1,6,2,1,3,2,4,9,0,0
adverb,0,0,0,0,1,2,2,1,3,2,0,4,0,3,4,0,1,0,2,2,3,1,1,2,4,1,3,1,3,3,0,3,2,3,2,0,1,2,2,1,1,0,1,3,2,0,3,4,0,3,1,0
article,0,1,2,3,4,2,7,1,7,4,1,3,3,6,6,2,0,0,4,2,5,1,4,5,0,0,7,4,6,3,0,6,0,3,3,5,5,3,6,5,5,4,3,2,2,3,9,3,5,10,1,0
conjunction,2,0,1,2,3,3,9,0,8,5,3,5,3,6,6,4,5,4,4,4,12,2,6,6,4,7,6,3,4,7,6,7,1,6,4,6,8,2,4,8,5,3,3,6,4,2,9,8,9,13,1,0
noun,3,4,3,5,9,7,10,1,13,6,3,8,5,8,8,8,3,6,9,3,12,2,6,10,4,5,12,7,14,15,17,15,0,8,8,11,16,5,6,7,8,7,5,12,4,4,18,10,9,18,2,0
numeral,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,3,0,0,0,0,2,0,1,0,0,0
other,0,2,0,1,0,0,0,0,1,0,0,1,0,2,6,1,1,1,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,1,2,1,2,0,1,0,1,3,0,0,2,0,3,0,0,2,0,0
particle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
pronoun,0,0,0,0,0,1,1,1,0,0,1,1,0,0,5,0,2,0,0,0,1,1,2,0,4,2,5,0,1,1,0,0,3,4,1,1,4,1,1,1,1,1,1,1,3,0,2,0,0,1,1,0
verb,2,3,1,2,4,4,4,1,9,3,2,6,2,5,15,4,4,3,3,2,6,3,4,4,3,7,9,2,6,7,2,8,4,7,5,4,5,3,3,8,5,3,0,1,5,1,9,2,3,5,2,0
