,,3,1,3,0,6,1,0,3,3,2,3,0,9,2,0,3,0,0,4,2,0,2,2,1,1,2,1,3,0,4,3,1,2,1,3,1,5,3,0,1,2,1,1,3,2,2,2,1,0,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
PRP$,0,1,0,0,2,1,0,1,0,0,1,1,0,1,0,3,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,3,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
RBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,5,0,6,3,3,0,0,6,3,4,2,1,6,1,1,2,1,1,0,2,1,1,0,3,3,2,3,2,1,3,2,2,5,3,3,2,2,6,1,2,0,3,2,8,2,1,3,3,4,1,0
adverb,0,0,1,0,1,0,1,2,1,0,1,1,2,1,0,1,2,1,2,1,0,1,1,0,0,0,0,2,0,0,3,0,0,0,1,3,1,1,0,0,3,0,1,2,2,2,2,2,2,0,0
article,6,4,2,4,4,2,0,4,4,3,1,0,7,3,1,1,0,2,2,4,0,2,1,1,2,2,4,2,0,4,1,3,0,3,4,4,3,7,1,4,0,4,2,4,4,3,4,4,3,3,0
conjunction,7,6,2,6,8,1,1,10,5,3,4,1,5,5,2,3,0,1,4,6,0,4,2,4,4,6,6,7,2,9,4,5,4,3,6,5,8,9,1,6,2,4,1,11,5,3,4,5,3,2,0
noun,17,9,8,6,17,7,1,11,10,9,11,1,15,10,5,6,2,4,13,10,3,8,3,7,6,14,5,10,6,12,11,7,5,6,9,6,11,14,7,10,1,6,5,12,12,11,11,8,5,3,0
numeral,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
other,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,1,1,1,0,0,2,0,1,1,0,0,2,0,3,1,0,0,0,1,0
pronoun,0,1,0,0,2,0,0,1,1,1,1,0,3,1,1,0,0,0,0,1,1,0,3,0,1,2,4,3,0,2,1,1,0,1,3,0,3,2,0,0,1,2,0,2,0,0,0,0,1,1,0
verb,2,3,1,3,9,2,2,7,3,2,4,0,5,3,3,8,2,2,3,4,2,4,6,2,1,8,7,9,3,7,6,5,2,5,4,2,9,7,2,2,1,3,3,4,4,4,3,4,3,2,0
