,,1,1,1,1,2,1,0,1,0,3,0,2,1,2,1,2,1,2,2,0,2,2,1,0,0,1,1,0,2,2,1,2,2,2,0,0,2,3,0,6,2,4,0,1,2,1,1,0
-LRB-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,1,2,0,0,0,0,1,1,2,0,0,0,1,1,0,0,1,0,0,1,0,4,3,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adjective,1,7,3,2,1,2,0,4,0,4,3,4,2,2,1,4,3,2,4,2,4,6,5,2,1,2,2,3,4,5,4,3,1,4,1,4,0,3,2,2,5,2,2,3,0,3,2,0
adverb,1,0,1,0,2,2,1,1,1,2,0,1,3,3,4,1,3,2,0,3,0,3,2,3,1,1,2,2,0,0,4,2,1,0,2,4,4,2,2,3,0,1,2,2,2,2,2,0
article,3,4,4,1,2,3,0,4,1,4,2,5,1,4,1,1,3,2,0,6,5,3,4,2,2,5,2,2,4,6,3,8,2,2,0,1,1,2,6,6,8,2,0,3,1,5,5,0
conjunction,3,10,2,3,11,8,0,5,1,5,1,3,1,4,4,5,8,1,4,5,2,9,6,3,4,5,2,1,7,10,4,10,4,5,0,6,2,4,5,9,9,4,2,6,5,4,5,0
noun,7,9,5,3,15,3,3,8,3,5,2,5,3,9,5,5,13,3,5,11,4,11,10,4,5,6,3,6,11,15,9,17,7,4,0,2,6,6,12,12,11,5,1,6,4,6,3,0
numeral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
other,0,0,0,0,2,1,0,1,3,0,1,0,0,1,1,0,0,0,0,1,0,2,3,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,2,0,1,1,0,1,0,2,0
particle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pronoun,0,1,2,3,1,3,2,1,1,1,1,1,1,2,5,2,4,0,0,2,2,1,1,3,1,2,0,0,0,2,1,0,0,1,1,1,2,1,1,4,1,3,3,2,1,2,1,0
verb,3,4,7,2,7,5,3,4,4,1,4,3,4,4,4,4,5,1,2,7,4,3,5,4,3,3,2,3,3,2,6,5,2,2,2,5,5,3,4,7,6,5,5,4,2,6,5,0
