,,2,2,1,2,2,0,0,0,0,2,1,2,2,3,2,3,0,1,4,2,1,1,1,3,2,2,3,0,4,3,2,0
PRP$,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
adjective,4,3,2,2,0,1,1,1,1,2,2,3,5,2,1,5,1,0,1,3,2,4,2,8,5,4,4,3,4,1,1,0
adverb,0,1,1,0,0,1,0,1,1,2,1,1,1,1,2,2,1,1,2,0,2,2,2,2,2,1,1,1,0,2,1,0
article,4,3,2,4,0,1,1,1,1,3,6,1,3,3,2,3,1,2,2,4,4,7,1,5,7,2,6,0,4,4,3,0
conjunction,4,5,3,3,4,3,1,2,1,7,9,2,7,9,4,9,0,7,5,8,4,11,7,10,12,3,8,1,6,7,1,0
noun,7,14,3,6,7,4,0,1,5,10,15,7,10,14,6,14,3,5,11,13,6,18,11,15,16,6,11,3,9,9,2,0
numeral,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
other,0,0,0,1,1,1,0,1,0,1,2,0,0,3,1,1,0,0,2,0,1,1,1,0,2,1,1,0,1,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
pronoun,1,0,2,0,2,1,0,1,0,3,2,0,0,0,0,0,0,2,1,3,1,0,0,2,2,1,2,1,0,1,0,0
verb,4,3,4,5,3,7,2,2,2,7,10,3,1,6,5,3,1,6,8,5,6,5,3,4,8,3,4,2,4,4,1,0
