,,2,4,1,2,2,6,2,1,3,1,0,4,1,3,5,2,1,4,1,1,4,2,4,4,4,0,4,1,2,1,2,1,0,1,1,2,1,1,1,2,1,0
-LRB-,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,1,1,1,0,0
PRP$,4,1,0,3,1,0,0,0,2,0,2,1,1,0,4,1,0,1,1,0,1,0,1,1,5,0,0,1,0,2,1,0,0,3,0,0,2,0,0,1,0,0
RBR,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
adjective,3,8,4,3,0,9,5,1,5,4,0,3,1,3,2,0,0,5,0,1,2,2,4,5,2,1,7,0,5,2,6,5,2,2,0,0,0,2,2,0,0,0
adverb,2,3,1,2,4,3,4,3,1,7,0,3,0,2,2,3,2,6,1,1,3,2,4,2,1,1,4,2,7,2,4,3,2,2,2,2,1,1,2,2,2,0
article,1,3,4,4,2,8,4,1,6,3,0,3,1,2,2,3,1,4,0,4,2,4,3,1,3,0,7,0,2,4,5,3,4,4,0,1,0,4,2,2,2,0
conjunction,9,9,2,9,4,13,7,3,9,7,3,5,2,7,7,6,3,5,1,4,11,2,7,6,5,2,7,2,3,9,9,8,4,9,3,4,2,5,4,6,4,0
noun,22,13,6,16,5,17,10,6,11,9,4,8,2,8,10,9,4,14,2,10,15,7,11,10,9,1,11,6,8,11,18,15,5,15,2,5,4,11,6,7,5,0
numeral,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,1,0,1,0,0
other,0,0,1,0,0,1,1,0,0,1,1,0,2,1,0,1,0,0,0,0,2,0,0,1,0,0,0,2,1,5,1,1,0,0,0,1,0,0,0,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,0,2,2,3,2,0,5,3,0,1,3,0,2,2,2,6,1,0,4,1,3,2,4,0,3,2,1,3,2,2,0,2,0,1,0,2,3,2,0,0
verb,9,3,2,4,6,8,7,2,12,10,4,7,5,8,4,6,3,14,1,3,14,4,3,3,9,1,5,2,5,11,14,11,3,4,3,5,2,6,6,9,3,0
