,,1,0,1,1,1,2,3,4,1,3,2,3,2,0,2,0,1,0,0,1,0,2,0,0,0,4,1,3,1,3,0,1,2,0,0,2,3,3,1,0,0,0,0,2,2,3,3,4,0,2,1,0,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,1,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,2,0,5,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,2,1,2,1,0,1,1,0,0
UH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,1,0,1,2,5,1,3,0,2,5,1,2,1,0,0,0,0,0,1,1,5,0,5,1,6,3,2,5,1,1,1,1,0,0,2,0,2,0,0,0,2,0,1,1,1,1,6,2,0,2,2,5,0
adverb,2,2,0,2,0,2,1,5,0,1,1,0,0,1,2,2,0,1,1,0,1,1,1,1,3,3,0,2,9,2,0,4,2,1,0,1,1,6,0,1,0,0,0,5,0,2,1,3,0,0,0,1,1,0
article,0,1,2,1,4,9,3,2,0,4,6,4,0,0,0,0,0,1,1,5,1,8,0,1,0,7,2,4,4,1,1,2,4,2,1,5,1,4,0,0,0,1,3,2,3,1,4,4,2,1,1,1,3,0
conjunction,3,4,3,1,3,12,6,8,0,4,5,6,3,0,1,0,0,0,0,4,5,11,1,7,2,9,3,4,7,3,1,1,8,2,0,6,2,5,3,0,0,2,2,3,5,3,7,9,4,2,1,1,1,0
noun,6,6,3,3,6,8,13,9,2,7,7,10,5,1,2,0,2,1,1,6,3,16,1,6,4,12,8,10,10,3,2,2,7,3,1,8,2,5,2,1,1,2,7,7,6,3,9,10,8,4,1,1,2,0
numeral,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
other,0,2,1,1,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,4,0,0,1,1,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,2,1,1,3,0,1,1,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,5,4,3,1,1,0,4,0,0,0,1,3,0,1,1,0,1,0,0,6,4,1,1,2,5,0,2,4,1,1,1,6,0,0,0,3,1,4,0,1,2,0,1,0,3,2,7,1,1,1,3,0,0
verb,3,9,6,5,4,8,5,11,0,4,4,3,4,0,3,1,0,1,0,3,8,9,1,3,5,11,3,5,12,2,1,1,14,0,0,3,5,3,3,1,1,2,2,5,3,5,5,15,4,6,3,4,2,0
