,,1,2,2,1,2,1,7,2,9,1,0,1,0,0,3,4,2,0,1,6,1,2,5,3,0,0,0,5,1,0,0,0,0,2,2,0,4,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
:,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRP$,0,3,0,2,1,0,0,1,0,0,1,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0
RBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,0,7,0,3,3,2,3,1,6,0,1,4,1,0,1,1,4,0,0,1,2,0,8,3,0,0,1,3,0,0,1,0,2,4,2,4,3,0
adverb,0,0,2,1,1,3,5,1,6,3,1,0,0,0,1,0,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,3,1,1,2,0
article,2,10,2,3,5,1,10,7,17,0,2,3,1,0,1,4,4,0,1,0,1,1,7,1,0,1,1,2,1,0,0,0,3,2,3,7,5,0
conjunction,1,19,4,7,11,3,10,8,21,0,3,7,0,0,1,9,6,0,3,1,2,4,9,7,1,1,2,10,4,0,0,0,2,7,5,8,10,0
noun,2,26,6,8,14,1,16,16,29,1,3,9,1,0,5,7,11,0,4,10,2,7,19,11,1,2,4,14,8,0,0,1,5,9,14,9,8,0
numeral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,1,0
other,0,0,0,1,1,0,1,1,2,0,0,0,1,1,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
particle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pronoun,0,2,0,2,0,3,1,2,2,0,0,0,1,0,0,2,2,1,1,1,4,0,0,2,1,0,3,0,0,0,0,0,0,1,0,0,2,0
verb,0,6,3,9,4,6,10,5,6,0,1,3,2,1,1,4,10,0,2,6,2,2,3,4,3,1,4,4,2,0,0,0,2,4,2,5,6,0
