,,2,3,0,0,2,1,2,4,2,0,1,0,1,1,2,0,1,1,2,1,2,3,0,0,3,2,2,1,0,1,0,0,1,5,1,0,0,3,0,2,2,0,3,1,2,0
-LRB-,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,1,1,0,0,0
adjective,5,7,0,4,2,2,5,3,2,1,8,1,3,8,2,0,6,3,1,2,7,1,0,1,8,2,4,5,1,1,3,2,2,5,1,2,0,1,4,5,3,1,4,2,1,0
adverb,1,3,0,2,1,2,3,2,0,0,0,0,0,1,1,0,3,0,3,2,4,0,1,3,0,2,2,2,2,3,3,2,0,4,2,0,0,4,1,1,2,0,0,1,0,0
article,6,5,2,3,3,2,6,7,0,3,12,0,0,6,3,4,6,3,1,3,9,2,0,1,5,6,3,1,4,1,3,3,2,9,1,1,1,6,5,4,4,3,5,5,4,0
conjunction,8,7,1,4,10,3,3,9,3,4,9,1,3,4,1,2,4,4,0,2,8,1,1,3,6,4,4,3,2,2,7,5,3,9,6,0,2,6,7,5,6,1,7,2,5,0
noun,13,8,2,4,11,8,6,13,5,9,17,1,6,12,3,3,18,5,1,6,16,4,1,3,15,5,8,4,5,6,12,6,3,24,6,4,2,11,7,5,8,3,8,10,6,0
numeral,3,0,0,2,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
other,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
pronoun,1,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,2,0,0,5,0,0,2,1,0,2,1,0,1,0,1,0
verb,2,8,0,2,4,1,3,10,4,4,9,1,3,3,4,3,6,4,1,4,6,2,3,4,5,5,4,3,2,3,7,2,2,11,6,2,4,5,7,4,4,4,3,4,7,0
