,,0,2,1,1,0,2,0,0,1,0,3,3,1,1,0,0,1,1,1,1,1,0,3,1,0,1,1,3,0,3,0,1,3,2,3,0,4,1,1,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
PRP$,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,2,0
adjective,0,1,0,1,1,4,1,1,4,3,5,2,5,1,0,0,0,1,2,2,1,2,1,0,1,1,1,5,2,4,2,4,3,0,6,1,1,3,3,2,0
adverb,0,3,2,0,0,2,0,1,2,4,2,0,1,1,0,0,1,3,1,2,0,2,3,1,1,2,1,2,1,0,1,4,5,3,0,1,3,4,1,1,0
article,2,1,2,4,1,1,2,5,6,4,2,3,2,0,1,1,3,2,0,3,3,0,1,1,1,2,1,9,1,3,3,3,4,0,5,0,4,2,1,1,0
conjunction,0,0,7,4,1,2,0,4,2,5,5,6,3,3,0,1,4,0,0,5,3,0,6,3,2,3,0,9,1,11,4,3,6,3,7,1,10,2,3,3,0
noun,5,1,4,5,1,1,1,5,7,8,8,10,7,0,3,1,5,3,0,6,2,1,8,3,5,5,1,17,1,12,6,8,12,1,8,1,9,1,7,3,0
numeral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
other,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,2,2,0,1,2,0,1,1,0,2,0,1,1,0
pronoun,0,1,2,0,0,0,0,0,0,1,0,0,1,2,0,1,3,4,2,0,2,1,1,0,1,2,0,0,0,1,0,0,1,5,1,3,6,1,2,1,0
verb,2,2,5,1,1,2,3,5,6,6,3,4,4,1,4,1,4,6,2,4,5,4,3,2,1,4,3,10,3,1,5,7,2,7,3,4,9,3,5,4,0
