,,1,3,2,3,1,4,6,2,2,0,1,3,1,0,0,2,3,0,4,3,6,3,4,0,2,2,2,0,1,0,3,4,2,0
-LRB-,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
PRP$,2,1,1,1,3,1,1,0,0,0,0,1,2,1,1,0,1,0,1,3,1,4,1,0,1,0,0,0,1,0,1,0,2,0
adjective,4,6,5,1,6,5,7,2,4,0,6,4,1,1,4,1,3,2,3,3,7,5,5,9,3,2,3,0,4,2,5,1,4,0
adverb,0,3,5,1,3,0,2,2,1,2,0,1,3,1,1,1,3,0,4,1,2,2,2,2,1,0,2,0,2,0,1,3,0,0
article,3,6,6,2,5,4,5,6,3,3,3,6,1,5,6,4,5,2,5,4,9,8,10,10,0,7,5,2,2,3,6,4,2,0
conjunction,6,6,5,5,11,4,7,5,4,1,6,12,3,4,6,3,4,2,5,9,7,12,13,8,6,4,3,2,5,2,9,10,4,0
noun,9,11,12,7,15,10,17,11,13,4,6,9,6,6,9,7,11,4,14,13,19,21,19,21,9,10,5,2,7,3,9,10,5,0
numeral,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,0
other,0,1,1,0,1,0,1,1,0,0,0,2,1,1,1,0,1,0,2,1,3,1,1,1,0,2,2,0,1,0,0,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
pronoun,0,2,1,0,0,0,0,3,0,0,0,0,2,1,1,0,3,2,0,3,0,1,1,3,0,1,1,0,3,0,3,4,0,0
verb,2,4,5,2,8,2,5,6,4,1,2,3,2,3,4,2,6,3,8,6,3,7,10,7,2,4,8,1,7,2,3,7,1,0
