,,2,0,4,3,2,3,2,1,5,2,0,0,0,3,1,0,1,1,0,1,5,1,2,0,1,2,3,0,0,1,0,4,0
-LRB-,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
-RRB-,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
:,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PRP$,1,1,1,2,1,0,2,2,1,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
adjective,4,1,2,7,3,2,2,2,2,1,2,2,0,0,3,2,2,1,2,0,5,3,2,2,3,3,2,2,2,2,1,4,0
adverb,1,1,0,0,2,0,1,2,1,2,2,1,2,4,2,0,3,1,2,1,2,1,2,0,2,1,2,2,1,0,1,0,0
article,4,3,5,4,5,2,1,3,1,5,4,0,2,4,3,3,1,3,1,2,1,1,2,3,3,7,1,3,6,2,3,3,0
conjunction,3,2,7,9,7,2,2,7,6,3,7,1,1,9,8,1,0,3,3,5,7,3,10,1,9,5,6,2,8,5,2,4,0
noun,6,9,15,17,11,6,9,6,3,8,6,2,2,9,12,5,1,6,0,6,10,6,6,2,9,11,6,3,7,10,5,9,0
numeral,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,1,1,3,0,1,0,1,1,0,1,0,0,0,1,0,2,0,1,0,0,1,0,1,0,1,0,1,0,0,2,1,1,0
particle,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pronoun,1,0,2,0,1,1,1,3,5,2,2,0,3,3,2,2,1,0,2,1,4,1,1,0,4,4,4,1,0,1,0,1,0
verb,4,4,9,1,5,1,5,6,8,4,3,1,4,7,3,3,3,2,3,2,6,1,4,2,5,6,6,5,3,5,1,4,0
