Adv,0,0,2,5,1,1,1,3,0,1,3,3,0,2,4,0,5,2,4,1,7,3,5,4,1,2,2,5,2,2,7,1,0,0,6,2,2,4,2,4,7,2,0,1,1,1,2,3,0,0,0,1,0,0,2,2,0,0,2,1,1,0,1,0,1,0
Art,1,2,4,9,2,2,1,0,4,2,1,1,2,2,1,1,4,3,7,2,2,1,5,3,3,3,5,5,4,3,10,8,4,2,3,3,6,3,3,5,0,5,3,2,5,6,2,6,4,2,1,2,5,0,5,0,1,0,1,2,1,0,2,1,3,1
Num,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,2,2,2,5,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
Prep,1,2,3,8,3,2,4,0,3,2,4,2,6,2,4,2,1,5,6,4,3,1,2,3,4,2,7,7,6,3,11,9,6,3,2,6,3,1,3,3,0,5,3,5,4,7,2,6,6,1,4,4,5,2,5,6,1,0,0,2,0,0,5,2,7,1
Pron,1,1,2,1,2,1,3,0,0,3,3,3,1,0,1,4,2,1,9,3,1,2,1,3,3,1,5,3,2,4,3,2,3,1,1,2,1,0,3,2,0,2,2,2,1,3,2,5,1,1,1,4,6,2,1,4,3,0,0,2,2,1,0,2,4,0
Punc,0,0,1,3,3,1,1,0,0,1,1,1,3,0,2,1,5,1,4,3,3,0,2,4,2,0,4,2,4,3,7,1,3,0,2,3,2,2,4,3,1,1,0,3,2,8,1,4,1,0,2,1,3,0,2,3,1,1,3,0,1,0,0,4,2,1
adjective,1,1,1,3,8,2,4,1,3,1,3,3,1,0,4,1,6,3,0,6,2,1,8,3,5,3,10,4,3,4,7,2,3,0,4,4,2,2,5,0,1,2,2,2,3,4,0,4,3,2,2,2,4,1,3,1,1,0,1,1,1,1,3,2,0,0
conjunction,1,1,2,2,1,2,0,1,1,2,2,1,2,2,1,1,3,1,2,3,1,1,4,1,1,1,5,3,1,3,2,2,4,1,4,5,2,0,0,5,0,3,1,1,1,3,2,3,1,0,0,2,2,1,1,2,1,0,0,2,0,0,2,1,3,0
noun,1,7,9,13,7,8,6,1,9,4,3,2,11,8,6,3,11,7,14,9,9,3,9,8,5,5,8,10,9,4,18,14,9,7,4,9,8,2,7,10,0,9,5,8,9,20,6,10,7,2,5,6,12,3,11,14,2,0,4,5,2,2,4,8,9,3
verb,2,1,5,5,6,5,3,1,3,7,1,3,4,3,6,3,5,5,7,1,4,3,8,2,2,3,7,6,3,6,5,4,5,2,6,7,4,2,3,8,0,5,1,6,5,9,3,11,4,1,3,3,10,2,6,6,3,0,1,3,4,1,3,3,5,1
