Adv,0,1,0,2,1,1,3,3,1,0,0,0,4,1,2,4,0,4,2,1,6,0,1,1,5,2,5,1,3,0,12,3,1,0,2,0,0,1,2,1,3,0,3,1,5,1,2,0,2,1,1,0,0,2,7,6,1,3,0,0,1,1,2,2,1,2,5,6,0,2,1,3,0,2,0,2,0,0,4,1,0,2,0,4,4,4,2,3,1,1,0,1,1,1,0,1,1,2,0,0,2,2,1,0,1,1,1,2,1,4
Art,1,2,1,1,2,3,3,3,0,0,0,0,1,1,3,4,1,5,2,4,3,6,0,1,7,6,6,4,4,0,6,6,2,0,1,2,1,0,1,2,2,2,10,1,1,2,3,6,2,8,3,2,1,2,6,1,2,3,0,2,5,4,3,4,5,0,4,2,2,4,1,0,3,3,6,3,0,0,1,0,1,2,0,2,8,6,1,0,9,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,0,1,1,4
Int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Num,1,0,0,0,0,2,3,0,1,1,2,1,2,1,0,0,1,1,1,0,1,2,1,0,2,4,1,0,0,0,0,2,0,0,0,1,2,2,0,1,0,1,1,1,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,3,1,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
Prep,1,3,3,3,1,11,9,2,0,0,0,0,2,3,3,4,1,4,3,4,2,9,3,1,6,9,7,3,2,0,4,10,2,1,1,6,3,2,2,5,2,2,9,4,3,2,2,7,8,4,4,1,4,3,8,2,1,2,0,0,1,5,5,1,4,1,2,0,3,2,0,1,6,7,4,5,0,0,0,0,5,2,1,5,11,9,1,0,9,2,2,1,1,0,0,1,0,0,0,1,0,1,2,0,1,0,0,5,2,6
Pron,0,2,3,2,1,4,7,4,0,0,0,0,5,0,2,5,0,3,2,2,3,1,3,2,2,15,4,3,11,0,11,8,1,1,1,6,0,1,1,3,1,2,2,3,4,1,2,2,4,1,0,1,2,1,7,6,0,0,0,0,2,6,6,1,3,3,1,4,3,2,1,2,2,4,4,4,1,3,2,1,1,1,1,2,7,10,1,0,5,3,3,1,2,1,0,2,1,1,1,2,2,3,3,0,0,1,1,2,4,4
Punc,2,0,2,2,1,5,5,4,1,0,1,0,6,1,4,5,0,6,2,2,2,0,0,0,7,9,11,4,2,1,12,8,1,0,1,4,2,0,0,2,1,1,10,1,3,1,2,5,3,1,0,0,1,7,5,2,0,2,1,1,0,4,8,2,9,1,2,3,2,5,0,0,2,4,2,1,0,0,1,0,0,3,0,3,3,5,0,0,7,1,0,0,0,0,1,1,1,0,0,1,0,3,1,1,1,1,2,9,1,2
adjective,2,2,2,1,2,1,7,3,0,0,0,0,3,2,1,4,0,3,1,1,7,1,1,2,8,9,7,1,3,0,5,4,1,0,1,1,1,1,1,1,1,0,4,3,4,1,2,2,3,0,0,4,2,1,2,1,0,1,0,0,0,3,7,1,4,3,3,3,1,4,0,0,2,3,6,1,0,1,1,2,0,3,1,3,2,2,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,6,2,4
conjunction,1,0,1,1,2,1,3,2,0,0,0,0,1,0,2,2,0,2,1,2,2,1,0,1,4,4,1,0,3,0,5,4,1,0,0,0,1,0,0,2,1,0,4,2,2,0,4,0,1,2,1,1,1,3,1,1,2,1,0,1,3,1,5,1,3,0,0,2,2,2,0,0,2,1,6,1,0,1,1,0,0,0,0,2,6,5,1,0,2,1,1,1,1,1,0,0,0,0,0,2,1,1,0,0,1,1,0,3,1,1
noun,4,4,2,3,3,15,11,7,3,0,0,0,6,3,5,10,2,13,4,9,7,10,2,5,11,12,14,7,6,0,11,13,3,2,2,10,5,2,4,6,4,3,17,7,5,4,4,14,8,10,5,3,7,11,9,2,3,7,0,2,7,7,11,5,12,1,5,5,7,8,0,3,7,8,5,7,0,0,2,1,5,4,0,4,15,20,1,0,16,1,2,1,0,1,0,1,1,0,1,4,1,3,3,0,5,2,0,12,2,6
verb,1,3,3,2,1,5,5,8,1,0,0,0,3,1,0,6,1,3,4,4,4,4,2,2,5,8,5,3,6,0,8,11,4,1,1,5,3,4,1,3,3,2,5,4,7,2,2,1,5,4,3,2,2,3,7,5,3,5,0,3,3,6,6,4,5,2,5,3,1,11,2,1,3,4,7,3,2,1,2,1,2,4,2,5,7,14,1,0,6,3,2,4,1,3,0,1,2,1,0,2,1,4,2,0,1,2,3,7,5,5
