Adv,0,0,0,0,3,3,0,2,2,0,0,0,1,1,0,0,0,0,1,1,1,1,2
Art,0,2,5,4,0,8,1,2,5,5,4,0,0,0,1,1,2,1,2,0,3,2,2
Num,1,2,0,0,0,1,0,0,1,2,4,0,1,0,0,0,0,0,2,0,0,1,1
Prep,0,2,2,2,1,8,1,3,2,3,4,3,0,1,3,0,4,2,2,0,0,2,3
Pron,0,0,0,1,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2
Punc,1,1,1,1,0,1,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1
adjective,0,1,6,4,0,3,1,2,2,2,2,2,1,0,1,1,0,0,0,0,2,0,2
conjunction,0,0,1,2,0,2,0,0,1,1,2,2,0,0,1,1,0,2,0,0,0,0,2
noun,3,8,7,10,2,10,2,6,12,7,9,4,0,2,6,0,5,6,3,1,4,3,5
verb,0,1,1,4,1,3,1,5,2,2,0,2,1,1,1,1,2,2,2,1,0,1,4
