Adv,0,1,1,0,1,0,0,1,2,0,1,0,0,2,2,0,0,1,1,0,2,2,0,0,0,1
Art,0,0,2,0,1,1,1,2,3,0,1,3,0,1,2,4,1,2,0,7,0,2,2,0,1,1
Num,1,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
Prep,0,0,5,2,2,1,1,1,4,1,0,2,0,0,1,4,1,1,1,5,2,2,2,1,2,0
Pron,0,1,1,1,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,2,1,1,1,1,1
Punc,1,1,4,0,0,0,0,1,0,1,0,1,0,1,0,1,4,0,0,1,0,2,0,0,0,0
adjective,0,0,1,1,4,3,0,0,1,1,1,0,1,1,0,1,2,0,0,1,0,1,0,1,0,1
conjunction,0,1,1,2,0,3,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0
noun,2,4,7,4,4,4,2,3,7,4,1,7,3,2,3,5,4,4,3,10,3,5,3,1,2,1
verb,0,2,4,3,1,3,2,3,2,1,1,2,1,4,3,3,1,1,1,3,2,2,2,1,2,2
