'',0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,2,0,1,0,0
:,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PRP$,1,0,1,0,0,0,0,0,0,0,1,0,0,3,2,1,1,0,1,0,0,0,0,0,2,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
adjective,2,4,4,0,2,2,0,1,3,2,5,4,1,1,2,0,3,0,0,2,2,0,3,1,4,0,0
adverb,0,1,2,0,4,2,0,0,0,0,0,1,2,1,0,0,0,0,1,1,2,1,1,0,1,1,0
article,3,6,4,0,2,7,1,0,2,2,2,5,4,2,6,5,5,1,5,5,4,2,5,2,5,4,0
conjunction,6,5,5,2,1,6,2,0,1,6,5,3,4,4,6,8,7,0,6,5,2,1,2,2,6,3,0
noun,11,12,5,5,7,11,0,1,3,8,7,5,5,8,13,14,12,3,5,11,6,2,12,4,9,8,0
numeral,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
other,1,1,0,1,3,1,0,0,0,0,0,2,1,1,1,1,2,2,1,0,1,0,0,0,1,0,0
particle,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,0,1,0,1,0,0,1,4,1,2,1,1,0,0,0,1,0,1,0,1,0,1,0,0
verb,4,4,3,0,6,7,1,1,3,6,8,7,5,8,6,3,9,5,5,3,4,2,5,2,4,3,0
