,,0,1,1,2,0,1,1,0,0,2,1,1,0,0,3,0,1,1,2,0,0,0,1,0,3,2,2,2,0,2,0,0,0,0,0,2,3,1,0,1,1,0,0,2,0,0,2,0,1,2,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
PRP$,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,1,1,0,1,0,0,2,0,0,2,0,0,2,2,0,1,0,0,0,1,0,0,0,1,1,0,2,1,0,1,0,2,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,2,0,0,1,0,0,0,4,3,0,0,1,2,1,1,1,1,0,0,0,1,1,0,2,0,3,2,0,3,1,1,3,0,3,2,1,5,1,2,1,0,4,2,3,1,6,2,3,3,0
adverb,2,3,1,0,1,2,0,0,1,1,0,1,0,0,1,1,1,2,2,0,0,1,0,1,4,1,3,3,1,0,0,0,2,0,2,1,1,1,0,0,1,0,1,1,2,0,2,1,3,4,0
article,4,6,4,2,1,0,1,3,4,1,2,1,3,1,0,0,1,0,1,0,1,3,0,0,6,5,6,6,1,6,1,0,3,3,2,3,0,3,1,2,1,4,2,2,3,2,6,4,1,3,0
conjunction,3,5,7,0,2,0,1,3,5,1,4,1,2,1,2,1,2,5,2,0,3,3,0,2,7,5,7,6,0,11,2,4,3,3,3,5,1,5,2,2,3,6,3,8,2,3,7,6,4,2,0
noun,7,10,7,4,3,2,6,4,4,6,5,4,4,2,8,4,8,3,6,0,6,7,2,4,10,7,15,9,1,18,3,8,9,4,5,11,3,7,4,6,5,9,8,13,5,7,14,6,6,4,0
numeral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
other,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,1,1,2,2,0,3,1,1,3,0,0,2,2,0,0,1,1,1,2,2,2,0,4,1,1,0,0
particle,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
pronoun,3,2,2,0,1,0,2,0,2,2,4,0,1,0,1,0,3,4,1,2,2,1,1,0,2,4,2,1,1,2,1,2,1,1,0,2,2,0,0,1,1,2,1,0,1,0,3,0,2,4,0
verb,8,6,5,1,2,0,2,2,5,4,5,1,4,1,2,1,4,3,4,2,2,2,2,3,8,6,11,8,2,9,3,4,11,3,1,4,6,2,2,3,3,5,4,7,6,5,10,2,6,4,0
