$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'',0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,,2,1,0,1,2,1,1,2,0,0,2,1,0,2,2,2,0,0,1,0,3,0,0,1,0,1,0,3,1,0,2,0,2,0,1,0,1,0,0,0,2,0,1,1,0,1,2,2,1,0,2,1,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
RBR,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
``,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0
adjective,3,0,0,1,4,1,2,6,1,1,1,1,0,1,4,3,2,3,1,0,1,1,1,1,2,0,0,1,2,2,3,6,3,0,0,1,0,0,0,1,2,0,1,1,2,1,1,3,6,0,7,0,3,2
adverb,1,4,1,0,3,4,1,3,0,0,1,2,2,0,2,0,0,2,1,3,3,2,1,1,1,1,0,3,2,1,4,1,0,2,1,0,0,0,1,2,1,0,4,3,3,1,6,0,1,1,6,1,2,0
article,6,1,0,6,6,2,4,5,2,4,4,1,2,7,4,3,2,2,1,0,6,1,0,0,2,2,0,3,2,5,4,7,3,3,3,2,0,0,0,1,2,2,1,2,2,2,2,4,10,1,2,2,3,1
conjunction,8,0,1,5,6,2,2,8,4,5,3,3,1,8,8,8,1,5,7,0,8,1,2,0,4,3,0,6,2,7,3,8,1,1,2,3,1,0,0,1,1,1,5,3,1,2,0,4,7,4,5,3,3,3
noun,16,3,0,8,10,6,6,18,4,7,7,3,2,13,8,9,3,7,7,1,13,4,2,2,4,5,0,14,2,7,6,9,2,1,4,2,3,1,1,0,3,3,3,4,5,7,2,5,13,6,7,7,4,3
numeral,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,2,1,0,1,0,4,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
other,4,1,0,0,1,1,1,0,0,1,0,1,1,2,1,1,0,0,0,2,0,1,1,0,0,1,0,2,0,1,0,3,1,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,2,1,1,1,2,0
particle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
pronoun,1,0,2,1,0,0,1,0,0,1,1,1,1,0,2,1,0,0,0,4,0,1,0,1,0,0,0,2,0,2,0,2,0,0,2,0,1,0,0,2,1,0,5,1,0,1,0,0,0,1,0,2,1,1
verb,9,5,1,4,4,4,3,3,2,2,5,4,4,4,5,6,1,7,2,7,4,3,3,2,1,3,0,7,2,4,4,8,5,1,7,1,2,1,0,5,2,1,6,2,4,2,3,4,4,7,9,4,8,3
