,,2,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,2,0,0,1,1,0,0,0,0,4,2,0,0,0,0,1,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
adjective,0,0,3,4,0,1,1,0,2,0,0,0,2,0,1,0,1,3,2,1,1,3,0,0,1,3,0,1,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,1,1,1,4,1,2,0,1,5,3,1,0,0,0,3,0,2,1,2,1,0,1,0
adverb,1,0,0,1,1,1,1,0,0,1,2,2,2,2,0,2,1,0,1,0,0,1,1,0,1,4,2,0,1,1,0,3,0,3,0,0,0,1,1,1,2,0,2,1,0,0,1,2,0,3,1,3,2,1,1,0,0,0,2,0,0,0,1,1,1,0,0
article,2,0,2,3,1,1,0,1,4,0,1,0,0,3,3,1,1,2,2,1,4,2,0,0,4,1,0,2,3,2,0,2,1,1,3,2,1,0,0,1,1,2,1,2,2,2,3,4,2,1,3,1,3,4,0,0,0,2,6,2,1,3,8,0,1,1,0
conjunction,2,0,1,3,3,1,0,1,2,1,2,3,0,2,4,1,1,3,1,1,5,6,0,1,1,2,0,2,5,1,2,3,0,2,2,0,2,0,1,1,2,1,0,2,3,3,2,6,2,4,3,3,3,5,0,0,0,2,5,2,3,3,3,0,0,1,0
noun,6,0,5,9,9,2,1,2,4,1,3,3,0,2,7,2,3,3,2,3,9,11,1,2,3,4,0,5,8,4,2,6,1,2,5,2,2,1,1,2,2,3,1,2,4,5,1,11,5,2,8,4,7,7,1,0,2,1,9,7,7,3,9,0,1,1,0
numeral,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
other,0,0,0,2,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,2,0,2,0,1,1,0,2,2,0,0,0,0,1,0,0,1,2,0,2,0,0
particle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pronoun,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,1,1,1,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,1,1,2,2,1,0,1,0
verb,5,1,1,2,5,1,2,1,2,1,1,2,0,3,4,1,1,2,1,2,3,3,1,0,3,4,3,3,3,6,2,3,2,1,4,5,4,1,1,2,4,4,0,2,4,4,5,5,4,5,4,2,6,4,1,1,2,1,9,1,0,4,9,1,4,3,0
