'',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
,,0,1,0,0,0,3,5,1,2,2,1,1,1,2,0,0,2,0,2,2,1,0,1,2,2,0,2,0,1,1,3,0,2,0
:,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,3,2,0,2,0,2,0,1,0,0,1,1,1,0,0,0
RBR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
adjective,2,1,1,0,5,3,2,3,3,1,5,7,1,2,1,3,4,6,3,1,4,5,1,4,4,0,6,2,5,3,4,3,1,0
adverb,0,3,0,1,4,1,2,0,5,2,2,2,3,2,1,2,2,4,2,0,3,2,1,1,3,1,1,1,0,0,0,0,0,0
article,6,3,2,1,6,5,2,5,4,6,4,8,2,7,1,5,3,8,4,4,5,3,2,4,5,4,6,1,5,6,4,5,3,0
conjunction,8,3,4,0,5,5,2,6,5,3,8,7,3,8,3,11,5,9,13,3,8,6,3,8,5,3,3,1,4,8,3,5,4,0
noun,15,4,8,3,13,23,10,10,9,13,11,11,8,11,5,17,8,17,15,9,10,7,10,12,15,4,15,3,8,15,11,10,4,0
numeral,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,1,1,0,1,0,0
other,0,0,0,0,2,1,0,1,1,3,1,2,1,0,0,4,1,2,4,2,1,1,1,3,1,0,5,1,1,3,1,1,0,0
particle,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,0,0,1,0,0,1,2,1,2,1,1,3,0,0,2,0,1,1,2,1,1,2,1,0,1,0,0,0,0,0,0,0
verb,2,1,2,1,3,9,3,3,3,12,10,5,4,5,3,9,6,9,8,4,6,4,3,11,5,5,9,3,4,7,5,6,3,0
