'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,0,2,2,0,0,0,1,1,4,0,1,1,0,0,1,2,1,0,0,0,3,0,3,1,1,0,1,0,1,0,1,0,0,0,1,0,3,2,3,1,0,0,1,2,0,0,1,1,3,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,1,1,0,0,2,0,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,0,0,0,0,0,0,1,1,2,2,0,6,2,0,0,1,1,2,1,2,0,1,0,5,0,0,1,1,1,0,0,0,1,1,0,2,0,3,4,0,3,3,1,1,7,3,3,4,3,1,2,2,0,0,1,0,1,0,0,1,1,2,2,1,1,0,2,0,0,3,0,1,0
adverb,0,0,0,1,3,0,0,1,1,2,3,0,2,0,1,0,1,1,2,0,0,1,0,1,2,2,0,0,1,2,0,1,1,0,2,1,0,1,3,2,1,1,1,1,0,0,0,1,2,1,1,0,1,4,0,0,0,1,0,2,1,7,3,0,0,2,2,1,0,0,1,0,0
article,0,2,3,4,1,1,0,2,3,4,0,1,0,0,2,1,1,2,1,3,3,3,2,5,2,3,2,1,2,2,2,3,4,2,2,2,0,4,4,5,2,1,1,4,3,3,2,2,2,3,1,0,1,4,0,2,3,1,0,2,4,3,5,2,1,1,5,0,3,5,1,2,0
conjunction,1,3,2,0,2,0,0,2,3,2,2,4,2,1,0,4,1,4,1,3,2,4,0,8,1,4,0,2,1,2,1,1,3,2,1,1,1,5,7,10,6,3,3,3,1,3,3,4,5,7,0,2,0,5,2,1,4,0,1,4,3,2,4,0,0,8,2,1,6,3,1,3,0
noun,2,4,4,3,2,1,0,4,8,7,0,10,8,1,1,4,8,7,1,7,4,7,2,13,6,6,2,6,4,2,2,4,6,3,2,2,0,8,13,10,8,3,5,6,7,4,8,9,5,8,5,2,6,11,6,2,6,1,0,4,6,5,6,3,2,6,4,3,8,12,1,4,0
numeral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
other,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,4,1,0,3,0,0,2,0,2,0,3,0,1,0,0,1,2,1,2,0,0,0,1,0,4,0,0,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,1,2,3,4,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,2,3,0,1,0,0,0,1,1,3,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,3,0,1,1,1,0,2,1,0,1,0
