'',0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,,0,4,0,1,2,1,1,3,1,3,0,2,1,2,1,0,2,0
-LRB-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
:,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
RBR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
``,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
adjective,1,2,1,1,2,1,1,3,1,6,2,0,1,2,1,3,0,0
adverb,0,1,1,0,2,4,1,3,0,3,3,3,3,3,1,0,3,0
article,1,0,4,4,3,5,3,3,2,2,3,3,2,4,1,3,2,0
conjunction,0,5,3,6,4,9,3,3,4,7,5,5,3,7,3,2,3,0
noun,1,6,4,7,6,8,6,6,8,7,8,3,6,5,4,3,4,0
numeral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
other,0,1,2,0,2,0,0,3,2,0,0,2,0,1,1,0,0,0
pronoun,0,0,1,1,2,0,1,1,1,2,2,5,0,3,1,2,2,0
verb,1,2,4,3,4,5,7,6,5,8,6,9,4,7,6,5,8,0
