,,3,2,3,2,4,1,5,3,7,1,5,2,0,6,1,0,0,2,1,1,0,0,0,0,2,1,2,3,4,4,2,2,2,2,1,2,1,2,4,0,0
-LRB-,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-RRB-,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
PRP$,2,0,0,0,2,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
adjective,3,5,0,0,5,1,3,0,1,4,3,5,2,5,5,3,2,2,0,3,1,0,0,0,0,2,2,2,5,4,0,1,2,3,5,0,3,2,5,1,0
adverb,2,0,2,2,2,1,2,2,0,0,0,1,2,3,1,1,3,2,2,2,0,0,0,0,1,1,2,3,5,2,2,2,4,1,4,2,1,3,3,4,0
article,4,2,5,1,3,2,6,5,3,4,2,6,6,5,5,2,3,0,1,6,0,0,0,0,0,2,7,4,5,5,1,1,2,4,3,1,2,2,6,4,0
conjunction,7,3,4,2,8,1,6,6,8,4,5,8,9,5,5,2,3,3,4,9,0,0,0,1,1,5,5,5,9,5,1,4,6,4,4,3,3,2,6,1,0
noun,14,4,5,2,10,5,15,7,17,6,7,13,11,9,9,2,7,3,6,10,0,2,2,1,7,6,12,6,18,9,5,7,5,10,4,3,6,3,6,3,0
numeral,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
other,3,0,0,0,0,0,3,0,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,0
particle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,2,4,1,3,1,4,1,4,0,1,1,1,0,0,1,0,1,0,3,2,0,0,0,1,0,1,0,1,1,2,0,1,1,0,2,0,2,3,2,0
verb,6,3,5,2,11,3,7,3,5,1,6,2,4,5,1,1,3,2,2,8,2,0,0,0,3,1,5,5,9,3,6,2,4,7,2,5,3,3,12,4,0
