,,0,3,3,2,1,4,2,3,2,0,0,0,2,3,5,5,3,2,2,0,2,5,3,0,2,0
-LRB-,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-RRB-,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
:,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,3,0,0,1,0
PRP$,1,1,1,0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,7,2,2,3,4,8,2,1,1,0,0,1,1,2,5,2,5,4,5,1,3,4,3,0,0,0
adverb,2,1,1,1,2,5,1,2,1,1,0,3,2,1,3,5,3,3,2,0,5,3,2,1,2,0
article,3,0,4,5,1,13,3,6,3,1,3,2,3,2,5,7,9,5,1,2,3,8,1,3,1,0
conjunction,5,5,7,7,5,15,4,6,4,1,2,2,8,3,9,7,8,5,6,3,9,9,3,2,1,0
noun,12,5,7,17,10,25,9,7,8,0,6,1,8,7,9,15,12,8,6,8,9,20,6,3,4,0
numeral,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
other,2,0,0,2,2,1,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
particle,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,1,0,2,1,6,4,4,3,1,1,2,3,1,9,2,1,3,0,1,1,1,0,1,2,0
verb,5,5,3,6,8,13,7,8,3,2,3,3,5,2,12,9,5,8,3,2,5,7,1,3,8,0
