,,0,1,0,2,1,3,1,0,3,1,1,0,1,0,3,2,3,1,1,5,2,1,3,2,0,3,2,3,3,1,3,3,2,0,1,2,4,2,5,2,0,3,2,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
:,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
PRP$,0,0,0,1,2,0,0,0,1,0,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,0,1,0,1,1,3,1,1,4,0,2,0,1,2,4,2,3,1,0,7,2,1,1,3,1,6,7,4,1,1,3,1,5,2,0,1,4,3,1,2,0,2,5,0
adverb,0,0,0,4,2,2,0,0,3,0,2,0,1,1,1,0,3,1,0,1,1,1,2,2,0,2,2,2,0,2,1,0,0,1,2,3,2,2,2,0,1,0,0,0
article,1,2,2,2,0,3,1,1,8,3,1,3,2,1,4,2,4,2,2,4,0,1,3,2,1,7,2,5,1,0,7,3,2,3,1,0,4,1,4,1,2,4,7,0
conjunction,0,3,0,6,2,5,0,0,6,6,7,5,1,2,7,1,4,4,1,8,0,2,2,4,0,9,5,7,3,3,8,3,5,3,2,3,10,8,6,1,2,5,12,0
noun,1,4,2,13,3,7,1,0,9,8,9,3,3,2,9,4,3,5,3,16,3,2,8,4,1,10,12,15,8,5,11,11,9,8,2,11,17,7,10,2,2,9,10,0
numeral,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,0,0,0,0,1,2,0,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,2,0
particle,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,1,0,4,1,4,2,1,5,0,4,0,0,0,1,0,1,0,2,3,1,2,0,1,1,1,0,0,1,2,0,0,1,0,2,1,0,2,1,2,1,2,1,0
verb,2,2,1,5,1,10,3,1,7,3,9,2,5,2,7,1,4,0,2,10,5,2,2,3,1,3,3,5,1,3,3,3,3,3,3,5,3,6,4,3,4,6,7,0
