,,0,1,3,0,1,1,1,1,2,2,2,0,0,2,1,1,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,2,1,4,2,2,2,0,1,0,1,2,2,1,1,1,2,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
PRP$,0,0,2,0,1,1,1,2,3,3,3,0,0,2,1,0,0,0,1,1,2,0,1,1,1,0,0,0,0,1,1,0,0,2,0,0,1,1,2,4,1,4,1,1,2,1,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,0,6,1,2,0,3,4,3,4,6,2,1,4,1,1,2,2,1,5,0,2,3,2,3,2,0,0,0,4,2,3,1,4,2,0,5,0,4,1,2,5,5,1,3,0,0,0,0
adverb,0,1,1,0,1,1,0,1,2,3,1,2,1,1,0,0,2,1,0,1,0,1,0,2,1,0,0,0,0,0,3,1,1,0,2,1,3,0,2,1,3,0,0,1,2,1,0,3,0
article,4,4,3,2,2,5,1,1,3,6,0,2,0,2,2,1,1,2,3,6,3,2,3,3,5,1,1,1,1,3,2,5,0,3,6,3,5,2,2,3,1,1,4,3,0,2,2,0,0
conjunction,2,5,8,0,7,4,2,5,6,9,7,3,0,7,3,4,6,2,5,10,9,3,8,7,5,2,0,0,0,6,2,5,2,9,8,5,4,3,8,6,5,6,9,4,2,4,2,2,0
noun,10,12,10,6,8,8,4,8,8,10,5,2,2,15,7,7,8,5,7,13,13,3,11,10,6,3,1,1,1,7,4,7,1,11,10,5,9,4,10,9,3,10,9,7,3,7,4,0,0
numeral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
other,1,0,0,1,2,1,0,0,0,2,2,1,0,3,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0,1,1,0,0,0,0
particle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pronoun,1,0,1,0,1,0,0,2,0,1,2,2,0,1,1,0,0,1,1,2,1,1,0,2,0,0,1,1,1,0,0,1,4,1,2,0,0,0,0,1,2,1,2,0,1,1,2,2,0
verb,2,4,6,1,5,8,1,5,5,7,4,3,1,5,2,2,3,2,2,4,2,3,5,4,5,1,1,1,1,2,3,2,5,3,7,5,2,2,4,3,5,7,6,2,3,2,2,2,0
