,,4,3,1,3,0,5,2,2,0,3,3,2,0,0,1,1,0,2,1,0,2,5,0,1,3,1,0,3,0,1,0,1,0,0,4,5,0,4,1,1,2,3,2,2,1,1,0,2,0,0,1,1,5,0,2,0,2,0
-LRB-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
-RRB-,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
.,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,1,0,0,2,0,1,3,2,1,0,1,3,0,0,2,1,1,0,1,0,3,3,1,1,4,1,0,2,0,0,0,2,1,0,0,2,2,1,0,1,2,1,2,1,0,1,1,2,2,0,1,0,3,0,2,0,0,0
RBR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
adjective,3,2,2,3,1,2,3,8,2,3,1,3,1,1,4,3,0,0,0,0,1,0,0,1,1,0,0,9,0,0,1,1,2,2,6,2,1,4,1,2,3,2,3,7,4,3,1,2,2,0,1,2,5,2,1,2,1,0
adverb,6,1,3,0,0,1,1,4,0,4,3,3,0,0,1,2,1,2,6,1,1,1,1,1,1,3,0,1,0,0,0,3,2,2,3,1,0,4,3,0,1,2,0,2,2,3,0,0,3,0,0,3,1,2,2,3,0,0
article,2,4,4,6,1,3,2,8,1,5,1,1,2,1,0,3,0,1,2,0,2,4,3,1,0,2,0,3,0,2,4,1,0,2,1,2,0,6,2,2,3,5,2,3,3,3,3,2,2,0,1,3,4,1,2,4,2,0
conjunction,5,2,5,9,0,2,5,7,4,12,1,5,4,1,6,4,2,4,5,2,5,7,6,3,4,2,0,15,1,3,5,2,1,3,4,5,1,3,6,5,2,6,1,8,10,4,4,4,1,2,2,4,7,3,3,7,3,0
noun,10,7,8,11,2,18,10,15,4,16,2,10,4,2,5,5,2,8,6,4,7,10,9,5,10,6,1,14,0,3,11,7,4,5,4,15,2,10,6,8,8,11,5,17,14,9,7,8,4,0,7,6,16,5,9,4,4,0
numeral,1,0,1,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
other,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,1,0,1,0,3,0,0,2,2,0,0,0,0,0,0,0,1,1,3,0,1,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,1,2,4,1,0
particle,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
pronoun,1,3,2,0,0,0,0,2,0,1,2,5,1,2,0,1,1,1,6,0,1,2,1,0,2,3,0,2,1,2,0,2,2,0,1,1,1,1,2,1,1,3,0,1,0,1,0,2,0,1,1,1,0,0,0,2,2,0
verb,2,5,4,6,1,2,4,4,1,6,4,8,2,1,2,3,2,2,10,2,3,6,4,4,7,8,0,5,2,2,4,4,4,5,5,4,1,7,3,1,6,6,2,3,5,5,1,5,2,2,1,4,4,2,5,8,2,0
