,,3,2,1,2,1,1,2,4,1,4,1,1,2,1,2,2,1,3,0,1,0,0,3,2,1,3,2,0
-LRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-RRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
PRP$,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,6,2,2,1,4,4,4,3,8,0,2,3,2,3,3,2,5,1,1,1,2,4,3,6,3,7,0
adverb,0,2,1,4,0,1,2,1,2,3,0,0,1,1,1,0,1,2,2,2,1,3,1,1,1,2,1,0
article,3,6,2,3,1,3,5,5,6,10,2,2,5,5,5,1,3,10,3,2,2,2,8,3,5,7,4,0
conjunction,7,5,4,3,1,4,5,7,8,12,1,1,5,4,5,5,3,15,2,0,4,4,9,6,6,5,6,0
noun,14,9,6,7,5,6,10,12,12,14,2,1,8,6,6,8,6,29,4,6,1,8,11,4,15,13,9,0
numeral,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
other,0,3,0,1,1,0,2,2,1,2,0,0,1,1,1,0,1,2,0,2,0,1,1,1,0,0,1,0
particle,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pronoun,0,4,1,2,0,2,3,5,4,0,1,0,3,0,0,1,1,1,0,0,0,1,4,1,0,1,0,0
verb,3,9,2,5,0,3,6,7,11,9,4,2,9,5,3,8,4,4,1,4,5,3,7,5,1,7,4,0
