$,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,2,0,0,6,1,0,0,3,1,7,1,1,2,3,0,3,3,1,0,1,3,3,1,2,3,4,0,2,3,0,0,3,3,2,3,2,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,1,3,0,0,5,2,1,0,7,1,2,0,1,1,1,1,2,15,2,2,1,2,1,5,1,6,1,4,5,3,1,3,1,2,4,4,2,1,0
adverb,1,2,3,0,2,2,0,1,1,5,0,5,1,2,1,5,2,1,0,0,0,3,0,1,2,2,5,4,1,1,4,1,1,1,3,1,2,2,1,0
article,6,2,6,1,0,9,4,2,2,3,1,5,0,1,3,4,3,6,12,3,1,2,4,0,2,2,4,0,2,4,5,2,1,3,6,2,5,3,3,0
conjunction,6,1,5,1,1,10,6,0,2,6,4,6,0,1,4,2,2,9,10,2,1,0,5,4,2,1,6,2,3,7,3,2,1,3,11,5,4,7,3,0
noun,5,3,7,2,4,12,6,1,2,8,5,11,0,5,10,6,7,11,21,2,3,1,9,5,3,3,10,1,5,11,10,3,1,8,12,12,6,7,4,0
numeral,1,0,1,1,0,0,1,1,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
other,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2,1,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
particle,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
pronoun,1,1,3,0,1,2,1,0,0,0,0,6,1,0,0,1,0,1,4,0,0,0,1,1,1,1,2,4,1,0,1,0,0,2,4,1,0,0,2,0
verb,4,3,5,2,2,10,4,1,4,4,3,17,2,1,5,4,1,5,9,2,2,1,4,1,1,2,5,5,3,4,6,0,1,3,7,2,4,1,7,0
