,,5,3,0,3,2,0,3,3,2,0,0,1,1,0,1,2,0,2,0,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0,4,2,1,4,0,0,2,3,0,1,0,2,0,0,2,6,1,1,1,0,0,1,4,2,0,0,0,2,2,0
-LRB-,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,5,3,4,2,1,0,2,0,0,1,1,1,1,2,2,2,3,0,4,7,1,1,2,1,0,1,0,1,5,1,2,2,1,5,1,1,8,0,4,1,5,1,3,1,0,4,4,0,1,1,1,2,1,0,0,1,1,0,1,0,0,1,0
adverb,2,1,0,2,0,0,0,0,0,0,0,3,1,2,0,3,1,0,1,2,1,1,0,1,3,1,0,1,1,1,2,3,2,2,5,0,1,2,2,0,3,3,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1,3,0,3,3,0,4,0
article,3,1,3,2,1,5,2,5,2,0,2,2,1,1,1,1,1,3,0,2,4,1,4,8,2,1,6,3,1,5,2,3,5,0,4,2,1,2,2,4,1,1,0,7,1,1,3,3,0,1,0,1,1,1,0,0,5,1,1,3,2,2,1,0
conjunction,4,2,2,4,4,6,5,4,0,0,2,6,2,1,3,2,2,7,1,2,9,1,3,8,1,0,5,3,1,10,2,5,7,0,6,3,0,8,0,3,2,5,0,4,2,0,5,3,0,4,4,2,1,0,2,2,3,0,4,2,2,1,2,0
noun,12,5,3,2,5,8,12,8,3,0,4,9,4,1,2,2,1,4,4,3,8,3,4,11,4,1,8,9,5,10,3,11,9,1,4,5,1,16,3,7,1,9,2,7,4,1,8,4,0,16,3,3,1,1,1,5,9,4,6,4,1,1,4,0
numeral,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,1,2,0,0,0,0,0,0,0
other,2,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0
particle,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,0,1,0,0,0,0,0,2,0,3,1,2,1,1,0,1,1,2,0,0,0,1,0,0,0,0,0,2,3,2,4,2,4,3,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
verb,5,3,1,4,3,2,4,4,2,2,3,10,4,4,3,4,1,7,1,4,4,2,4,2,4,3,2,1,2,4,2,4,7,4,7,5,0,5,2,3,0,3,0,5,1,0,2,2,2,1,1,5,3,1,0,3,2,1,2,3,1,6,4,0
