,,1,0,3,2,1,0,0,2,0,4,0,1,0,0,1,0,1,0,2,1,0,1,2,0,2,1,2,3,1,0,1,0,0,1,0,1,0,4,2,0,0,0,3,2,0,2,1,0,1,0,0,1,3,1,1,2,2,1,1,4,0,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRP$,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
adjective,1,2,0,0,1,1,3,2,0,1,0,2,0,0,0,1,2,0,1,0,0,1,3,1,4,2,1,5,1,0,2,1,1,1,1,2,0,4,0,0,2,2,1,2,0,1,1,1,0,0,0,0,4,3,1,1,2,0,1,7,0,0,0
adverb,1,0,4,1,0,0,0,0,0,0,1,2,1,1,1,0,1,1,0,0,0,2,2,0,1,0,1,1,0,1,1,0,0,0,0,4,2,6,0,1,1,0,1,1,0,0,0,0,1,0,0,3,2,1,1,1,3,3,1,1,1,0,0
article,3,2,5,1,1,1,1,4,2,1,0,3,0,1,2,2,2,1,1,3,0,1,1,4,5,3,1,6,2,1,2,4,1,3,0,3,1,4,0,1,0,4,1,1,1,6,3,0,2,2,1,1,6,0,1,3,3,0,2,1,1,2,0
conjunction,2,4,4,1,1,3,1,5,5,5,2,3,1,1,0,2,4,0,2,2,1,4,3,4,4,5,1,4,5,0,3,4,0,3,0,3,2,9,4,3,2,5,4,0,2,7,1,0,2,2,1,1,14,2,3,1,3,8,2,6,0,1,0
noun,3,10,6,1,1,3,3,7,6,10,1,7,0,4,1,3,6,3,4,4,2,9,3,4,11,8,2,9,5,1,4,5,1,2,1,5,1,8,4,2,1,5,3,2,2,8,3,2,2,3,3,1,16,2,3,2,3,5,2,5,0,3,0
numeral,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,3,0,1,2,0,1,0,1,0,0,0
particle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,2,1,0,0,0,0,1,3,5,2,0,1,0,1,1,0,0,0,0,1,2,1,1,4,1,1,1,0,1,3,1,0,0,1,1,7,1,2,3,2,2,0,1,3,2,0,1,1,0,2,4,1,2,2,1,1,0,1,1,1,0
verb,2,3,6,2,0,2,2,1,2,9,4,3,2,2,1,3,4,1,3,3,0,5,5,1,4,9,1,3,2,0,2,3,1,1,1,4,2,9,3,2,5,2,4,3,1,5,2,0,4,1,1,5,11,3,3,6,2,3,2,5,1,1,0
