,,2,2,0,0,1,1,4,0,1,2,0,2,0,4,0,2,1,8,2,7,2,0,0,1,2,6,1,0,0,1,2,2,0,2,1,1,1,0,2,0,4,1,2,1,4,1,0,2,1,4,1,1,3,2,2,1,2,4,0,0,1,3,1,2,0,1,0,3,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
:,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
PRP$,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
RBR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
adjective,4,1,2,1,1,6,2,3,1,9,1,3,2,3,3,3,5,3,4,7,4,3,2,5,2,2,1,1,4,2,5,1,1,1,3,4,1,3,1,7,7,2,3,1,3,3,0,2,3,1,2,2,5,4,6,2,2,2,0,2,6,5,2,8,3,6,3,2,0
adverb,0,1,2,1,1,3,2,0,1,0,0,1,0,0,0,2,1,0,0,1,4,2,0,0,1,0,4,2,0,1,0,2,1,3,1,1,0,1,0,0,0,0,1,2,1,0,0,1,1,4,2,0,0,1,0,1,0,2,0,0,1,1,0,3,1,2,0,2,0
article,5,5,4,1,3,4,7,3,1,7,4,4,6,4,2,5,3,1,1,7,3,5,2,4,2,1,3,2,2,3,6,2,0,2,6,3,0,5,2,3,2,2,6,1,1,2,1,3,0,4,2,4,6,4,4,4,4,6,2,4,5,5,3,9,2,4,2,1,0
conjunction,5,7,4,1,3,6,8,3,2,5,1,7,6,4,2,7,2,6,4,10,7,4,2,3,5,4,5,5,4,4,4,5,0,1,6,6,3,3,2,9,3,3,9,3,0,4,2,4,3,10,6,2,8,7,4,2,7,6,1,4,5,6,7,10,3,9,2,4,0
noun,10,10,8,2,5,9,10,4,2,10,4,15,8,7,8,12,5,17,8,24,17,6,7,10,7,23,5,11,5,7,11,12,1,5,10,10,3,10,3,12,11,7,17,2,5,5,7,6,4,12,5,8,13,10,7,5,11,15,3,6,6,10,8,9,4,12,7,9,0
numeral,1,1,0,0,1,0,1,0,1,2,0,0,0,0,0,2,0,0,0,2,2,1,0,0,2,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
other,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,2,0,1,2,0,0,2,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,2,0,3,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pronoun,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2,2,0,1,1,2,0,0,1,0,0,0,0,0,2,1,0,1,2,0,4,0,0,0,1,0
verb,2,6,2,2,1,3,4,2,2,7,3,3,3,4,1,3,3,1,2,4,6,2,4,3,3,1,4,4,3,3,3,5,1,1,6,4,2,4,2,5,2,5,5,2,3,2,2,4,2,2,2,3,1,4,3,1,2,6,1,3,5,4,3,8,3,3,1,3,0
