,,0,3,1,1,1,2,0,0,0,2,3,3,2,3,1,1,0,1,1,1,2,5,3,1,2,1,1,2,3,0,2,1,1,1,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PRP$,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,1,1,0,0,0
RBR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,5,2,1,1,1,5,1,0,2,3,2,3,2,2,2,2,2,2,4,1,1,2,5,2,1,3,0,5,2,2,3,1,3,3,3,0
adverb,1,1,1,1,1,0,3,3,1,0,0,6,2,1,2,0,0,1,1,2,2,3,4,1,3,0,0,2,2,1,0,2,1,1,3,0
article,2,3,4,1,4,5,1,0,6,3,5,4,5,5,3,4,3,3,3,1,2,1,2,2,7,5,0,3,5,2,1,2,0,2,2,0
conjunction,0,5,5,2,7,4,2,1,6,4,4,4,5,6,8,7,1,5,5,3,3,7,4,0,8,6,3,4,5,2,3,4,3,4,5,0
noun,4,4,8,6,7,11,3,5,7,8,12,8,12,14,13,13,4,7,10,5,4,17,7,3,12,9,4,7,13,3,5,6,4,7,5,0
numeral,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
other,0,2,0,0,3,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
particle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,0,0,1,0,4,0,0,1,0,4,0,0,2,1,0,1,1,0,0,1,0,0,1,0,1,2,2,0,0,0,0,1,1,0
verb,3,7,4,1,9,2,6,2,3,3,2,9,3,5,9,5,3,3,2,2,1,3,3,1,6,2,3,5,6,2,1,5,4,1,2,0
