,,3,1,11,4,2,0,2,3,1,2,2,2,1,0,0,0,1,3,0,3,2,0,2,2,0,0,1,1,2,2,3,3,0,0,1,0,3,1,1,2,4,5,0,2,2,1,1,0,0,0,2,4,1,0,0,0
.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PRP$,2,2,0,3,0,0,2,1,1,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,2,2,0,2,1,0,1,0,0,2,1,1,0,0,1,0,0,2,0,0,0,0,0,2,2,1,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
adjective,0,0,6,2,4,0,1,0,0,0,1,2,1,0,1,1,2,5,0,3,1,1,1,2,0,1,3,3,3,1,2,4,2,2,1,1,5,1,1,0,2,2,1,2,2,0,1,0,3,1,5,6,2,1,0,0
adverb,0,1,6,2,2,2,1,1,0,1,0,0,1,1,1,0,0,0,1,2,0,1,0,1,0,1,1,5,0,2,3,3,1,1,0,0,0,1,0,0,2,3,1,0,0,1,0,0,3,0,0,2,2,0,1,0
article,3,0,7,2,4,3,2,4,2,3,5,5,2,3,2,4,2,3,2,8,3,0,5,2,0,0,2,2,2,3,6,5,1,1,2,0,6,1,2,1,3,2,1,5,1,3,5,1,0,1,4,6,2,2,1,0
conjunction,10,2,10,7,6,5,8,4,5,6,6,2,3,3,1,5,4,3,2,4,2,1,4,2,1,1,3,4,4,5,11,4,1,3,2,0,8,2,5,3,8,6,1,5,3,4,7,4,1,2,5,9,4,4,1,0
noun,11,6,27,13,14,6,8,10,10,7,11,7,3,6,5,7,12,7,5,8,7,1,7,6,1,2,7,11,8,6,15,8,3,5,5,3,13,2,7,2,13,5,2,8,4,9,12,2,3,3,10,15,6,5,0,0
numeral,0,0,1,0,0,1,1,0,1,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,3,2,0,0,0,0,0,1,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
other,0,2,0,0,2,0,1,2,1,2,2,2,0,1,0,0,1,0,2,4,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0
particle,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
pronoun,1,2,2,1,1,1,1,2,0,2,1,1,2,1,1,3,3,1,1,2,0,1,2,0,1,1,0,2,0,1,3,1,0,1,2,0,2,0,1,2,1,1,0,0,3,2,0,1,1,1,1,0,1,0,1,0
verb,6,2,7,5,4,3,3,5,3,5,3,4,6,4,3,9,5,2,3,7,1,2,2,3,2,3,4,7,5,2,9,1,2,4,1,0,3,2,4,3,5,3,2,2,3,3,4,1,3,1,7,6,2,6,1,0
