,,1,2,1,1,0,2,0,0,1,3,2,0,3,3,3,0,3,0,0,1,0,2,1,1,2,1,1,1,2,5,1,1,0,3,1,5,3,0,0,1,5,2,2,1,1,2,2,3,1,2,2,0,3,1,2,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
adjective,1,0,6,3,3,3,1,1,1,1,0,1,5,3,3,1,1,0,1,3,1,2,2,3,0,0,3,0,4,3,2,1,3,2,1,4,1,2,1,1,6,5,2,0,1,4,0,1,2,4,4,3,6,0,2,0,0
adverb,2,0,0,2,0,3,1,0,0,2,0,1,3,1,3,0,1,0,5,2,1,2,3,1,2,2,1,2,2,0,2,3,2,4,1,2,0,2,0,3,2,2,2,3,2,8,2,1,3,2,2,5,2,0,0,1,0
article,1,0,5,4,4,2,0,1,3,4,1,0,3,5,5,1,3,0,2,1,5,6,5,1,1,1,1,2,6,6,3,2,2,3,3,6,1,2,3,5,6,8,4,2,1,3,1,5,3,8,2,7,6,3,4,2,0
conjunction,4,1,7,5,3,8,2,1,3,5,3,2,8,6,8,1,6,0,3,1,2,7,5,1,3,2,1,1,4,12,3,4,4,6,2,6,2,5,3,6,10,8,5,0,3,7,2,5,3,8,3,6,7,5,3,0,0
noun,7,1,7,9,4,6,3,2,5,11,4,4,12,12,10,2,7,0,5,3,5,13,5,1,4,2,5,4,9,24,6,4,6,7,6,15,5,5,8,5,10,13,6,2,3,10,2,15,2,11,4,8,12,4,5,2,0
numeral,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
other,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,2,1,0,0,0,2,2,0,0,0,2,0,0,0,0,1,1,1,3,0,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,2,2,1,0,3,0,0,1,1,2,0,3,1,4,2,1,1,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,1,1,0,0,0,0,1,3,1,0,1,0,3,2,1,0,1,1,1,0,2,0,0,0
verb,2,2,6,4,2,6,1,1,4,2,5,3,7,9,7,4,4,3,4,1,3,5,4,1,5,1,4,2,3,6,4,6,3,10,3,10,3,4,2,5,10,5,5,6,2,5,2,2,2,5,3,7,4,10,2,1,0
