,,2,0,1,4,0,0,4,0,1,4,2,2,2,1,5,1,5,2,5,2,4,2,0,1,1,2,1,2,3,1,0,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
PRP$,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,1,0
adjective,2,1,1,2,1,0,2,2,1,5,3,0,3,2,1,4,8,3,4,1,2,2,2,2,2,2,2,3,3,7,2,3,0
adverb,0,1,0,3,0,0,5,1,2,2,1,2,0,0,1,0,2,1,0,0,1,3,3,1,0,2,1,0,1,1,2,1,0
article,3,5,2,2,1,0,2,2,4,8,6,2,4,3,3,4,4,4,7,3,4,1,0,4,2,2,1,7,7,3,4,3,0
conjunction,4,4,4,5,1,2,9,0,4,6,6,3,5,2,7,3,7,3,7,5,4,5,4,7,3,7,2,7,9,5,7,3,0
noun,7,5,8,8,4,3,18,2,13,12,10,6,18,12,12,6,14,9,13,7,7,5,8,14,5,11,8,11,11,8,15,5,0
numeral,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
other,0,0,0,1,0,0,0,0,1,1,2,0,1,0,3,0,0,3,0,1,0,0,0,1,1,1,2,0,1,0,2,0,0
particle,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,0,0,2,0,1,5,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,1,0
verb,2,1,0,4,1,1,10,3,5,4,7,2,1,4,4,4,6,7,5,3,3,4,3,5,1,5,3,6,4,4,2,3,0
