,,1,1,0,2,2,3,0,1,5,0,2,3,0,0,1,1,2,2,0,0,1,0,3,0,0,1,1,1,1,0,0,0,1,0,1,3,0,3,0,3,0,0,4,3,1,0,2,4,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRP$,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
RBR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,4,0,3,2,4,0,3,2,2,0,4,3,0,2,0,0,1,0,0,2,2,2,1,0,1,1,4,2,1,1,1,0,1,2,1,2,1,2,1,1,2,1,1,1,0,0,2,4,0
adverb,2,0,0,2,1,2,1,1,0,0,0,0,1,0,0,0,0,2,1,0,1,1,1,1,0,0,0,1,0,1,0,1,2,0,2,1,0,4,0,0,1,1,1,1,1,0,3,0,1,0
article,1,1,3,7,4,3,2,2,0,0,5,1,3,0,1,2,0,2,2,0,1,1,2,1,0,4,2,2,0,2,2,1,1,1,0,4,6,4,3,3,3,2,0,2,2,3,3,3,3,0
conjunction,4,2,5,6,2,7,1,6,2,2,5,5,3,1,0,1,1,2,1,0,1,0,2,1,1,2,4,5,2,1,7,2,2,2,1,8,2,3,2,3,2,3,4,1,6,3,4,3,0,0
noun,6,3,7,10,7,4,6,5,9,6,10,7,7,7,5,3,0,3,3,1,3,4,10,3,5,4,5,6,3,4,8,4,2,4,2,9,7,4,8,6,6,3,5,3,6,4,5,3,4,0
numeral,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
other,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,2,2,0,1,1,0,0,1,0,0,1,0,2,1,0
particle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,1,1,3,2,2,0,2,0,1,0,0,1,0,1,1,2,3,1,0,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,0,0,1,0,2,3,1,1,0,1,0,0,0
verb,3,2,4,8,3,3,2,3,1,1,4,3,4,1,3,1,1,2,1,0,3,1,5,1,2,2,4,2,3,3,2,3,3,4,0,6,3,2,3,6,4,2,4,2,2,3,7,5,3,0
