,,2,3,0,0,0,3,2,3,1,2,3,7,3,9,0,2,2,0,2,2,0,3,0,5,11,1,0,0,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
PRP$,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
RBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
adjective,0,3,1,2,1,3,3,4,1,2,3,6,4,11,1,3,0,2,3,9,0,4,1,6,5,0,3,0,1,0
adverb,1,3,1,1,2,0,2,1,1,3,5,7,1,7,0,2,0,1,1,2,1,2,1,4,6,1,1,0,3,0
article,0,0,1,2,3,3,3,9,3,2,7,9,8,8,1,5,4,2,2,13,1,4,0,10,7,4,2,0,5,0
conjunction,3,8,1,4,3,11,6,7,2,5,7,13,9,17,3,7,4,4,4,15,2,7,5,16,9,3,2,0,5,0
noun,0,8,7,4,5,13,5,14,4,6,19,16,17,18,2,10,6,6,11,15,2,15,7,22,22,5,3,2,5,0
numeral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
other,1,1,0,0,1,1,0,1,0,0,2,2,1,0,0,0,1,0,1,1,1,0,0,1,3,1,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pronoun,6,1,0,2,1,4,1,0,0,1,0,3,1,4,1,0,0,0,0,0,1,1,0,2,2,1,0,0,1,0
verb,5,5,2,5,2,7,4,5,2,7,3,12,6,11,2,2,3,1,2,5,2,5,3,9,10,3,2,0,7,0
