,,1,2,3,0,0,2,4,0,0,0,0,1,2,1,1,3,0,0,1,0,1,1,2,1,3,2,0,0,1,1,1,1,0,3,3,0,1,0,2,0,3,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
:,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PRP$,2,2,1,2,0,0,2,2,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0
RBR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,3,2,2,0,1,1,6,1,2,0,0,0,4,2,1,5,4,0,0,0,2,2,1,0,6,2,1,1,3,3,0,1,1,3,5,5,2,3,3,1,3,0
adverb,0,4,2,0,0,1,2,0,1,0,1,0,0,1,0,1,1,0,3,2,1,1,2,0,1,1,0,0,0,0,0,2,1,0,0,0,2,1,2,1,1,0
article,5,3,2,1,2,1,3,0,4,1,1,1,6,1,2,4,2,0,0,4,4,3,1,2,4,2,4,2,2,3,4,2,2,8,4,1,6,5,4,3,7,0
conjunction,7,6,5,1,2,4,6,1,4,1,0,2,3,3,6,3,1,0,1,3,2,3,2,3,5,3,3,1,3,5,1,0,2,8,5,2,4,6,8,5,8,0
noun,15,12,11,6,3,6,8,4,5,1,1,3,9,8,7,13,6,2,3,7,6,4,3,5,14,7,4,6,8,6,6,3,4,16,6,4,8,9,11,9,11,0
numeral,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
other,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,1,0,1,0,1,1,1,0,1,1,0,0
particle,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,2,2,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,3,0,0,0
verb,2,5,3,4,1,4,5,3,2,1,3,3,3,2,2,5,1,0,4,2,1,2,3,5,9,5,3,2,7,8,3,3,2,4,3,1,1,4,8,1,5,0
