,,1,0,0,2,1,2,0,0,0,1,2,1,0,0,3,5,3,1,1,3,3,2,2,3,0,1,0,1,2,0,1,1,1,1,0,1,0,2,2,1,2,1,2,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
:,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,1,0,1,2,0,1,0,0,2,1,0,0,0,2,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1,1,2,0,1,0,2,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,0,1,0,3,1,2,2,1,1,3,0,0,0,3,2,2,1,0,1,2,1,1,0,3,2,2,1,2,1,2,2,1,1,1,0,2,0,1,2,0,1,2,4,0,0
adverb,0,0,0,2,1,2,0,2,0,1,2,2,0,0,1,0,2,1,0,1,4,5,0,3,1,1,0,0,0,0,2,1,3,3,1,1,0,0,2,1,2,1,3,1,0
article,1,1,1,4,0,3,2,0,1,2,2,0,4,3,0,2,1,0,1,3,1,0,2,1,4,1,2,3,0,2,3,2,5,3,2,2,0,3,2,0,1,2,3,3,0
conjunction,5,2,1,4,3,4,1,0,1,4,1,2,3,6,5,5,4,3,1,4,2,4,2,4,5,2,2,3,2,2,3,2,1,5,2,5,0,3,6,2,3,2,5,1,0
noun,7,3,4,9,2,7,3,4,3,4,2,1,6,9,4,6,7,4,2,7,4,0,3,5,6,3,5,3,1,3,3,3,6,4,3,7,3,5,7,5,1,4,7,3,0
numeral,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
other,1,0,1,2,2,1,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,5,0,1,0,1,0,0,2,2,1,0,1,0,0,0
particle,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
pronoun,2,0,0,3,1,0,2,0,0,1,1,1,0,1,1,4,1,0,0,1,0,6,2,0,1,0,1,1,2,0,2,0,1,2,2,0,0,0,4,1,3,2,0,2,0
verb,4,0,2,7,5,3,3,3,1,4,1,1,2,4,3,6,1,3,0,1,5,8,3,1,3,3,4,2,2,3,7,2,7,4,3,2,0,4,8,3,2,5,4,5,0
