Adv,3,0,2,2,1,1,1,2,1,1,2,1,2,1,1,0,3,1,2,0,2,15,3,1,1,1,2,1,2,1,2,2,0,1,3,0,1,2,0,4,0,3,2,2,3,0,1,1,6,1,0,1,3,1,1,3,2,3,3,0,2,2,2,0,4,5,3,3,1,1,1,7,0,0,1,0,0,1,1,3,1,2,4,1,4,0,1,1,1,1
Art,1,1,0,2,3,1,1,0,2,0,2,5,8,3,1,3,2,2,0,0,2,3,0,0,5,1,3,2,3,1,2,1,0,1,0,0,2,2,0,0,2,2,1,0,0,0,0,2,2,0,1,2,3,0,2,1,0,1,0,1,4,2,1,1,2,9,5,3,4,4,1,4,6,2,4,1,0,2,4,0,2,4,6,0,1,6,3,1,2,4
Num,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,3,2,0,1,3,8,2,0,1,0,2,2,0,2,0,0,0,0,0,1,0,0,0
Prep,1,2,0,2,3,4,0,1,2,0,3,6,8,2,0,2,2,1,2,1,2,11,0,1,6,1,4,1,2,3,3,1,0,0,3,3,2,6,2,1,3,0,1,1,0,1,0,6,2,0,0,3,2,0,2,1,0,2,1,0,10,4,1,3,3,8,9,6,1,3,0,3,12,4,4,1,2,3,3,1,3,4,1,1,6,7,7,3,1,4
Pron,3,0,1,1,3,3,1,1,2,2,3,2,1,3,0,1,1,2,6,1,3,15,2,2,2,2,3,0,4,3,1,4,1,3,1,3,2,2,2,4,2,3,1,1,1,0,1,3,2,2,1,3,3,2,6,2,1,2,1,4,8,3,2,0,3,9,1,1,2,2,1,5,1,3,1,1,3,1,1,2,1,2,3,2,2,1,2,2,1,1
Punc,2,0,0,1,1,1,0,1,1,0,0,2,6,3,0,1,1,1,2,0,4,3,1,0,3,6,2,0,1,2,1,1,0,2,5,0,0,1,0,0,0,3,0,1,0,4,0,1,0,0,1,0,2,0,0,1,0,2,0,0,4,1,1,0,1,9,1,1,8,2,0,6,23,3,1,0,9,4,3,1,1,1,4,0,2,0,7,0,0,3
adjective,2,2,2,3,3,1,0,0,2,0,1,5,3,4,0,1,1,0,1,0,2,3,2,1,4,2,1,2,6,2,2,1,1,1,2,1,0,3,2,1,1,4,1,0,0,0,0,0,2,2,0,0,2,1,2,1,0,2,1,0,2,1,0,2,3,11,0,1,1,4,0,4,2,4,2,2,1,2,1,1,4,1,2,1,0,2,1,0,2,1
conjunction,2,0,0,2,1,1,0,1,0,0,1,1,1,2,1,1,3,1,1,0,2,3,0,0,1,0,2,0,2,3,0,0,1,1,2,1,0,1,1,1,1,2,1,1,1,2,0,2,2,1,0,0,1,0,2,1,0,1,0,2,2,0,0,2,2,5,1,1,1,2,0,3,3,2,0,0,2,2,4,2,1,2,4,1,2,0,4,0,2,2
noun,9,3,2,3,5,5,1,1,5,2,4,11,17,6,1,5,3,3,4,1,11,8,1,2,10,5,8,2,6,4,7,4,0,2,8,4,3,12,3,1,3,4,1,1,1,6,2,6,5,1,2,4,5,0,2,1,0,6,1,2,15,6,4,4,10,15,13,8,8,9,2,7,27,6,6,1,11,6,14,5,3,11,11,3,13,10,20,2,3,7
verb,3,2,1,5,2,5,1,1,1,2,2,1,1,5,0,1,4,4,2,2,2,11,2,3,3,1,6,2,4,6,2,4,1,5,4,2,2,2,1,2,2,5,1,3,2,2,1,2,4,1,3,2,5,2,7,3,1,3,1,4,3,8,4,1,4,10,3,1,2,3,3,6,1,1,3,4,1,1,0,1,8,3,3,2,1,1,2,2,2,1
