Adv,1,1,0,1,0,0,2,0,2,3,1,0,3,0,2,0,1,0,1,0,1,0,3,1,1,1,0,1,0,2,1,1,0,1,2,2,0,4,1,1,0,0,0,2,2,0,1,2,1,1,1,4,1,1,2,0,3,1,0,4,1,4,1,0,2,1,0,1,1,0,1,1,0,1,1,1,2,2,0,2,0,5,2,1,1,0,0,2,0,0,1,2,1,1,3,1,1,1,0,1,1,3,0,0,2,2,2,2,1,2,0,1,1,1,4,1,3,3,1,0,0,0,2,1,2,0
Art,1,2,0,2,0,0,1,1,3,0,1,1,1,3,2,0,1,0,0,2,4,2,3,2,1,0,0,0,3,0,2,3,2,0,2,2,2,3,2,2,0,0,1,6,4,3,0,5,1,2,1,0,1,2,1,2,2,1,3,3,1,2,1,1,2,3,0,0,2,0,0,0,3,2,1,2,1,0,1,1,4,5,2,5,4,2,3,4,1,0,1,0,1,1,3,1,5,3,4,1,1,1,1,0,2,1,2,1,3,8,0,2,1,8,1,4,4,4,5,1,1,3,2,2,0,0
Misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Num,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0
Prep,2,2,0,2,1,1,2,1,2,0,3,0,0,3,3,0,0,0,0,1,4,3,4,0,1,3,4,0,2,3,4,3,2,0,5,2,6,2,2,2,0,0,0,6,3,1,0,1,1,0,0,3,3,3,1,1,2,1,1,2,1,4,2,0,1,3,3,2,4,0,0,3,2,3,1,3,2,1,1,3,8,6,0,4,2,2,4,2,0,0,1,0,1,1,2,2,3,2,4,0,1,1,0,0,2,0,3,2,4,5,0,0,1,10,2,6,1,4,3,0,0,3,2,1,1,0
Pron,0,4,4,2,1,1,2,4,3,3,4,0,0,0,2,0,1,1,4,1,0,2,1,0,0,1,2,1,0,5,2,1,0,2,5,1,3,2,0,0,4,1,1,0,0,0,1,4,2,1,1,4,3,2,1,0,6,1,1,0,1,1,3,0,1,0,3,7,4,2,6,5,2,6,0,3,2,0,2,0,4,3,1,1,0,0,0,1,1,0,10,0,3,3,1,0,1,0,4,1,1,2,3,4,3,2,1,0,2,0,2,0,0,5,1,2,0,2,3,2,3,0,1,0,5,0
Punc,1,0,1,3,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,3,0,4,3,0,1,0,0,3,0,2,2,0,2,2,1,0,3,1,2,0,0,0,2,1,3,1,0,0,1,1,2,1,2,0,1,0,0,0,1,2,1,2,0,2,1,1,2,1,1,2,0,1,0,1,2,1,3,0,0,1,1,0,1,1,1,0,1,2,0,0,1,2,1,0,1,1,0,1,0,1,0,3,3,0,1,0,4,1,1,3,2,2,2,0,1,0,0,2,1
adjective,0,0,0,0,1,1,0,0,3,1,0,0,0,2,1,0,0,0,1,0,2,2,1,0,1,0,1,1,2,1,2,1,2,0,1,2,2,0,0,0,1,0,1,4,1,0,0,1,1,5,0,0,4,0,0,0,0,3,1,7,0,2,1,2,1,0,0,3,3,0,0,1,2,2,0,1,1,1,0,0,1,3,1,3,0,0,3,2,1,1,1,1,2,1,2,1,1,0,1,0,1,0,0,0,2,0,3,3,2,5,0,1,0,4,1,2,0,2,3,2,1,1,1,1,1,0
conjunction,2,0,1,1,1,0,1,0,2,0,2,0,0,1,1,0,0,0,0,1,1,1,2,1,0,0,2,1,2,2,1,1,0,3,3,0,1,1,0,1,0,1,1,2,2,1,1,4,0,3,1,0,1,2,0,1,2,1,0,1,1,3,1,0,1,0,2,2,2,1,1,4,2,2,0,2,2,0,1,1,2,2,1,1,1,0,1,1,0,0,3,0,2,3,3,1,1,1,0,2,0,1,2,2,1,1,1,0,2,1,0,1,1,3,3,3,3,3,1,2,1,0,1,0,3,0
noun,3,3,0,11,4,2,4,3,7,2,1,0,3,5,4,1,1,1,0,2,8,3,7,4,2,2,7,1,7,4,3,2,2,2,9,3,6,7,3,7,2,2,2,9,6,4,0,6,1,2,3,1,4,4,1,4,5,2,2,6,3,6,1,1,4,3,5,2,8,1,3,5,3,5,3,4,6,3,8,4,12,13,2,8,5,4,8,4,2,3,1,2,0,4,4,4,5,4,7,3,1,3,3,2,2,1,5,4,5,10,0,3,2,22,6,16,11,10,7,4,4,6,4,4,5,0
verb,3,3,3,2,2,0,3,3,3,2,3,1,4,3,4,2,1,0,2,2,2,3,4,2,1,2,2,1,3,4,4,3,3,2,7,2,3,2,1,5,1,2,2,4,4,4,2,4,2,4,3,8,2,5,4,2,7,1,3,3,3,4,2,1,2,2,4,5,4,1,3,6,3,4,1,3,5,2,1,3,2,3,2,3,2,2,4,2,0,1,7,1,5,5,5,2,6,6,4,2,2,4,3,2,2,4,2,4,3,2,2,2,1,5,2,6,2,5,4,4,3,1,4,0,5,0
