@relation Train

@attribute MeanSentenceLengthFeature numeric
@attribute StopWordsPercentagesFeature numeric
@attribute UniqueWordsPercentages numeric
@attribute PostagNoun numeric
@attribute PostagAdjective numeric
@attribute PostagVerb numeric
@attribute PostagConjunction numeric
@attribute 'Train Feature' numeric

@data
34.052083,0.09375,0.102506,7.648529,1.224745,3.640055,4.5,1
2.02375,0.07375,0.057073,2.345208,3.201562,1.732051,6.041523,1
61.832721,0.09375,0.066629,9.513149,1.802776,2.692582,5.85235,1
18.022995,0.195165,0.046685,2.54951,2.5,4,0.5,1
2.3125,0.03125,0.10681,3.041381,1.581139,3.162278,4.5,1
0.430444,0.194556,0.07154,5.700877,2.061553,2.236068,7.5,1
47.789583,0.064583,0.030951,6.892024,2.5,5,5.408327,1
36.915179,0.44494,0.006218,10.024969,2.5,2.291288,5.024938,1
17.121528,0.042824,0.02833,3.24037,2.5,4.092676,7.088723,1
17.05625,0.26875,0.076868,4.527693,2.061553,1.414214,6.020797,1
29.038665,0.053496,0.106482,6.670832,2.5,1.414214,7.017834,1
4.422181,0.066789,0.057413,1.224745,1.802776,1.732051,3.640055,1
2.657003,0.021461,0.150877,1.224745,1.5,1.414214,2.872281,1
44.505912,0.157939,0.019196,7.245688,4.5,1.732051,5.196152,1
25.291118,0.09375,0.027575,3.082207,1.802776,5.196152,5.024938,1
10.063657,0.09375,0.06415,5.049752,2.291288,3.464102,6.873864,1
21.84375,0.09375,0.019057,8.3666,1.5,2.236068,4.031129,1
15.82375,0.10625,0.008737,4.301163,3.354102,4.242641,4.153312,1
22.838068,0.048295,0.025234,2.872281,1.5,3,3.082207,1
7.369391,0.042468,0.043077,4.1833,3.354102,1.732051,5.123475,1
9.801377,0.09375,0.089686,7.106335,0.5,1.732051,5.123475,1
16.924395,0.065524,0.004472,3.391165,3.354102,1.732051,5.024938,0
30.498355,0.327303,0.023511,4.743416,1.802776,2.828427,4.924429,1
8.102371,0.037716,0.004049,1.936492,1.5,4.242641,4.609772,1
7.71875,0.40625,0.030558,2.345208,2.061553,3.201562,4.582576,1
44.932112,0.065733,0.042894,5.97913,1.581139,3.354102,6.164414,1
28.713613,0.066353,0.098585,5.522681,1.5,1.732051,4.031129,1
28.501645,0.041118,0.028719,4.769696,5.338539,5.220153,8.031189,1
23.440034,0.23902,0.019544,1.870829,1.581139,2.44949,2.692582,1
2.331926,0.220439,0.011443,3.082207,2.061553,2.236068,6.020797,1
21.273983,0.154797,0.098766,5.049752,1.802776,1,6.264982,1
27.06468,0.054506,0.026226,3.807887,2.5,3.316625,6.020797,1
47.53778,0.063899,0.056549,8.455767,2.5,3.464102,8.01561,1
