@relation Train

@attribute MeanSentenceLengthFeature numeric
@attribute StopWordsPercentagesFeature numeric
@attribute UniqueWordsPercentages numeric
@attribute PostagNoun numeric
@attribute PostagAdjective numeric
@attribute PostagVerb numeric
@attribute PostagConjunction numeric
@attribute 'Train Feature' numeric

@data
0.589744,0.051282,0.012582,1,2.236068,5.196152,1.414214,1
110.567599,0.019814,0.046495,15.066519,5.477226,4.5,7.348469,1
23.725104,0.072153,0.003344,6.244998,1,2.236068,2.645751,1
27.380238,0.09631,0.018666,4.272002,2.291288,0.5,2.44949,1
20.700532,0.049831,0.02558,3.316625,1.414214,2.44949,6.184658,1
57.215924,0.104588,0.015693,7.615773,1.732051,3.354102,4.795832,1
27.517094,0.136752,0.021918,5.196152,3,3,3,1
23.517094,0.108974,0.014745,7.826238,1.5,2,4.387482,1
2.766104,0.074422,0.003886,3.741657,1.414214,2.236068,2.236068,1
51.232372,0.025641,0.02375,16.918924,1.414214,4,6.726812,1
26.030166,0.045249,0.02033,9.539392,1,3.162278,3.741657,1
36.989316,0.136752,0.065417,19.052559,2.692582,1,5.220153,1
16.892628,0.057692,0.007274,2.54951,2,4.123106,1.732051,1
11.02735,0.11453,0.009903,4.153312,2,4.123106,3.464102,0
26.219114,0.207459,0.00758,5.43139,1.118034,3.162278,3.605551,0
43.723443,0.406593,0.042181,9.165151,1.732051,2.5,5.91608,1
32.701122,0.068109,0.011114,6.5,0,4.41588,2.872281,1
2.26426,0.025641,0.083387,2.44949,2.236068,1.414214,2.236068,1
51.461538,0.122507,0.018259,7.483315,3.162278,3.872983,6.164414,1
68.987179,0.179487,0.006311,11.74734,1,3.872983,7.28011,1
30.961538,0.224359,0.027917,9.192388,1,2.5,3.872983,1
19.97669,0.025641,0.026727,3.605551,1.414214,1,3.354102,1
24.549974,0.035583,0.045231,2.5,2.12132,4,3.872983,1
126.552448,0.095571,0.054683,15.91383,7.697402,6.964194,9.810708,1
31.107372,0.036859,0.01687,3.162278,1.732051,5.196152,3.162278,1
5.100962,0.171474,0.008988,1.732051,4.242641,2.12132,1.414214,1
38.030166,0.319759,0.062961,6.78233,1.414214,1.414214,4.242641,1
1.155948,0.074821,0.054953,6.103278,1.414214,5.09902,1.732051,1
45.8663,0.093407,0.020386,2.828427,2.645751,2.236068,4.821825,1
9.767628,0.166266,0.024729,4.582576,1.414214,2.291288,1.414214,1
30.589744,0.051282,0.016616,2.828427,2.645751,2.236068,3.162278,1
22.321188,0.15857,0.00848,15.435349,1.414214,1.732051,12.459936,1
15.794872,0.051282,0.008115,7.28011,1,3.162278,3.162278,1
18.261538,0.025641,0.042371,3.741657,2.44949,1.224745,1.732051,1
16.194872,0.150641,0.047327,7.433034,3.162278,1.118034,2.345208,1
15.017094,0.391026,0.009278,17.066048,1,2.236068,2.236068,1
28.223443,0.049451,0.003278,3.316625,2.291288,2,3,1
42.57748,0.025641,0.055984,10.688779,1.802776,4.123106,3.162278,1
39.66584,0.219189,0.026133,3.5,1.414214,1,2.44949,1
6.432401,0.065268,0.034556,4.062019,1.5,0.5,2.061553,1
43.948718,0.051282,0.006766,12.688578,1,1,4.795832,1
31.169872,0.119391,0.073011,20.248457,3.201562,5.024938,3.464102,1
51.689609,0.394062,0.05024,15.32971,5.291503,5.477226,7.874008,1
55.885781,0.086247,0.032096,6.873864,2.291288,1.732051,5.315073,1
35.854872,0.025641,0.059538,8.185353,2.236068,1.414214,4.690416,1
9.128205,0.092006,0.014202,3.162278,3,0,2.44949,1
41.201122,0.036859,0.035812,6.082763,0.5,2.5,4.873397,1
1.311001,0.315964,0.023485,4.690416,1.732051,1.732051,1.414214,0
23.524602,0.052668,0.043954,4.690416,1,4.031129,4.582576,1
44.582751,0.025641,0.022453,6.5,0,2.236068,3.464102,1
11.594872,0.088645,0.046983,1,1.414214,3.316625,3.605551,1
68.061538,0.025641,0.016724,12.093387,4.123106,1.5,9.273618,1
3.591168,0.321937,0.066683,2.692582,2.645751,3.162278,3.162278,1
71.473443,0.010073,0.02324,9.617692,6.164414,2.291288,7.615773,1
28.27763,0.111848,0.01376,4.690416,1,2.236068,6.403124,1
9.809295,0.192308,0.014965,1.870829,2.645751,1.5,1.118034,1
32.416493,0.190575,0.011626,4.5,1.5,5,3.605551,1
6.135361,0.020871,0.048992,3.316625,2,3,1.414214,1
45.883761,0.047863,0.026183,7.5,1.414214,4.031129,9.124144,1
11.270346,0.039576,0.015005,5.567764,2.645751,3.464102,1.5,1
17.737729,0.239927,0.029799,8.062258,1.414214,1.732051,5.196152,1
