@relation Train

@attribute MeanSentenceLengthFeature numeric
@attribute StopWordsPercentagesFeature numeric
@attribute UniqueWordsPercentages numeric
@attribute PostagNoun numeric
@attribute PostagAdjective numeric
@attribute PostagVerb numeric
@attribute PostagConjunction numeric
@attribute 'Train Feature' numeric

@data
65.851852,2.416667,0.024631,3,4,10,2,1
115.20155,2.356589,0.088016,3,8,10,0,1
47.597701,2.235632,0.011844,1,4,10,1,1
88.134199,2.349567,0.059361,1,2,10,1,1
9.742424,1.893939,0.0182,2,3,10,0,1
114.704403,2.150943,0.009362,2,1,10,0,1
130.369369,2.558559,0.025844,1,3,10,0,1
2.811594,2.264493,0.006814,2,3.162278,10,1,1
53.074074,2.12963,0.057209,2,1,10,1,0
16.463203,2.123377,0.097578,0,4,10,1,1
57.727273,2.545455,0.038943,0,1,10,1,1
78.154472,2.810976,0.00596,2,0,10,1,1
103.550725,2.387681,0.02688,1,2,10,1,1
36.266667,3.897619,0.070275,4,4,10,2.236068,1
63.166667,3.055556,0.008998,3,3,10,1,1
104.424242,2.568182,0.025215,2,3.162278,10,0,1
63.045045,2.738739,0.011562,4,5.09902,10,0,1
13.614035,1.850877,0.056662,2,4,10,0,1
136.965174,2.807214,0.047293,3,4,10,1,1
53.385417,2.010417,0.030202,3,1,10,1,1
45.22807,2.166667,0.024609,3,0,10,0,1
87,2.458333,0.022123,3,1,10,4,1
73.619048,2.678571,0.049278,3,1,10,1,1
142.708333,3.0625,0.018088,3,2,10,1,0
48.136054,2.807823,0.014887,1,5,10,1,1
128.547619,2.071429,0.02881,2,5,10,1,1
12.366667,2.05,0.026629,3,4,10,1,0
169.833333,2.944444,0.016378,4,1,10,3.041381,1
264.933333,3.733333,0.015974,3,5.09902,10,0,1
72.636816,1.781095,0.084541,2,5,10,1,1
0.602837,2.966312,0.080042,3,3,10,3,1
12.987179,2.705128,0.046723,2,4,10,0,1
67.606061,2.742424,0.016286,3,1,10,1,1
14.546667,2.466667,0.063287,4,2,10,0,1
