@relation Train

@attribute MeanSentenceLengthFeature numeric
@attribute StopWordsPercentagesFeature numeric
@attribute UniqueWordsPercentages numeric
@attribute PostagNoun numeric
@attribute PostagAdjective numeric
@attribute PostagVerb numeric
@attribute PostagConjunction numeric
@attribute 'Train Feature' numeric

@data
16.071429,0.607143,0.013415,1,1.414214,10,1,0
0.089599,1.416667,0.03692,0,3.162278,10,1,1
4.392857,1.964286,0.112869,2,2,10,1,1
23.194643,1.266071,0.064125,0,5,10,1,1
17.716387,1.691176,0.098796,1,2.236068,10,0,1
23.831281,1.242611,0.001632,0,1,10,0,1
30.757143,1.821429,0.067316,0,2.236068,10,0,1
2.511905,1.583333,0.014961,1,2,10,2,1
27.983766,1.374675,0.063932,4,3,10,2,1
19.324534,1.361801,0.042422,1,0,10,0,1
2.964286,1.678571,0.028245,0,1,10,1,1
140.892857,3.535714,0.103255,1,2.44949,10,0,1
32.739011,2.590659,0.044358,1,3.162278,10,1,1
20.414835,1.321429,0.011055,1,3.162278,10,0,1
24.675466,1.551242,0.070911,1,5,10,1,1
7.618664,1.586406,0.04803,2,5,10,1,1
58.678571,2.678571,0.098206,1,5,10,1,1
68.531746,1.928571,0.005568,2,6,10,3,1
28.435501,1.387527,0.025989,1,2,10,0,1
29.807143,1.721429,0.007478,0,1.414214,10,2.236068,1
88.585165,1.519231,0.034723,0,1,10,0,1
13.32764,1.768634,0.043723,1,0,10,1,1
9.232143,1.96875,0.011494,0,3,10,1,1
162.821429,2.125,0.126549,3,4,10,1,1
52.442857,1.814286,0.050879,1,2,10,1,1
7.535714,1.27381,0.056828,0,1.414214,10,0,1
54.169643,1.178571,0.056008,0,2,10,2.236068,1
70.057143,1.182143,0.116936,1,1,10,0,1
1.934729,1.481527,0.032057,3,4,10,2,1
91.938312,2.412338,0.004057,4,1,10,0,1
111.035714,2.964286,0.002645,1,3,10,1,1
124.868467,1.939895,0.14665,1,2.236068,10,2,1
124.108543,1.905462,0.174256,0,2,10,0,1
33.107143,1.559524,0.099635,0,0,10,0,1
41.942037,1.696136,0.082606,1,3.162278,10,1,1
2.829365,1.337302,0.034609,0,1.414214,10,0,1
30.440476,1.083333,0.061427,1,1,10,0,1
5.705357,1.875,0.062776,1,1,10,0,1
9.963033,1.662281,0.089135,1,1.5,10,1.414214,1
38.205357,1.401786,0.002455,1,1,10,2,1
67.384085,1.424185,0.175307,1,2,10,1,1
35.724164,1.350304,0.022247,2,1.414214,10,0,1
25.27381,1.720238,0.019004,2,3.162278,10,1,1
38.742857,1.478571,0.023506,1,0,10,0,1
26.972857,1.53,0.015932,1,5,10,1,1
137.530788,2.944581,0.131751,2,2.236068,10,2,1
45.118664,1.6947,0.018321,1,1,10,1,1
93.902597,1.269481,0.119928,0,2,10,1,1
5.551948,1.305195,0.00858,2,2,10,1,1
35.892857,1.986842,0.026509,1,1,10,2,1
70.545031,1.880435,0.048706,1,2,10,1,1
90.992857,1.657143,0.028549,0,2,10,0,1
109.805901,1.970497,0.087165,1,2.236068,10,2,1
45.215839,1.315217,0.015823,1,4.123106,10,2,1
15.98183,1.41604,0.050336,1,2,10,0,1
11.678571,1.857143,0.099453,3,1.414214,10,0,1
7.123214,1.433929,0.07754,1,4.123106,10,0,1
33.787815,1.584034,0.08538,0,1,10,1,1
7.759852,1.073892,0.011783,1,1,10,1,1
