@relation Train

@attribute MeanSentenceLengthFeature numeric
@attribute StopWordsPercentagesFeature numeric
@attribute UniqueWordsPercentages numeric
@attribute PostagNoun numeric
@attribute PostagAdjective numeric
@attribute PostagVerb numeric
@attribute PostagConjunction numeric
@attribute 'Train Feature' numeric

@data
1.324631,0,0.044887,6.164414,2,2,0,1
51.222556,0,0.039861,13.425722,0,1.732051,1.414214,1
24.926891,0,0.056298,3.201562,1,1.414214,1,1
8.819048,0,0.034434,8.062258,2,1.732051,1.414214,1
10.707937,0,0.237753,5.220153,2.236068,2.061553,1.118034,1
5.354286,0,0.006485,6.164414,3.162278,1,0,1
16.758442,0,0.04613,1,1.118034,1.414214,1.414214,1
20.334199,0,0.082539,4,1,1.802776,1.118034,1
28.2,0,0.107694,2.44949,3.162278,1.414214,1.414214,1
5.376803,0,0.020132,1,1,1,1,1
8.921262,0,0.084323,1.414214,1.414214,2.236068,0,1
22.767766,0,0.037105,2.44949,1,3.316625,2.236068,1
4.658171,0,0.045879,1,0,1,1.414214,1
11.927575,0,0.061865,1.732051,2,1.414214,2.44949,1
29.325992,0,0.024537,2.738613,3,1,0,1
8.528267,0.042553,0.05463,1.414214,1,1.732051,1,1
45.921612,0,0.077229,3.464102,2,2.44949,2.236068,1
28.269388,0.061224,0.117669,7.211103,1.414214,1.414214,3,1
18.54632,0,0.085725,5.09902,1,1.118034,2.236068,1
84.031169,0,0.039085,8.485281,5.567764,4.821825,1.414214,1
14.464438,0,0.025992,2.44949,1,3.162278,1.414214,1
38.146731,0.016949,0.021117,3.605551,1,2,1.414214,1
4.944048,0,0.134722,3.872983,1,3.354102,1.414214,1
18.785714,0,0.117047,2.44949,1,4,2.061553,1
5.628571,0,0.002863,4.153312,0,1,2,1
79.72782,0,0.02616,12.60952,3.872983,3.316625,1.732051,1
25.079464,0,0.103309,3.316625,0.707107,1.414214,1.414214,1
2.994678,0,0.010398,3.162278,1,1.414214,2,1
3.248661,0,0.002899,1.802776,1,3.464102,0.5,1
1.514286,0,0.080034,3.201562,1,0,2,1
30.415947,0,0.074696,3,1,2,3,1
16.790062,0,0.12827,2.44949,2.236068,1.732051,3.162278,1
7.195392,0,0.080034,5.196152,2.44949,2.44949,2,1
48.012987,0,0.021213,6.403124,4.123106,7.141428,1.414214,1
12.693088,0.004608,0.068601,5,1,3.316625,2,0
11.923214,0,0.112881,1.802776,4.123106,2.291288,3,1
26.183827,0.018868,0.034126,2.236068,1.802776,1.5,1,1
33.122078,0,0.121701,3.905125,1,5.830952,1.414214,1
25.565714,0,0.121261,3.905125,0,1.118034,2.291288,1
24.985714,0,0.167047,5.244044,0.5,1.224745,1.118034,1
2.122078,0,0.078005,1,1.414214,1.414214,1,1
7.354762,0,0.003698,1,1,1,1.118034,1
9.746584,0,0.193192,3.464102,1,3,3.316625,1
10.559788,0,0.169993,2.236068,1,3.162278,1.414214,1
38.015126,0,0.010844,5.830952,1.414214,1.732051,1.414214,1
10.682897,0,0.013712,1,0,2.236068,1.414214,1
13.532468,0.018182,0.060866,2.645751,1,1,1,1
6.398901,0,0.191932,4.272002,1.414214,3.162278,2.061553,1
43.930159,0,0.011596,13.379088,6.082763,4,1,1
37.899507,0,0.10247,4.582576,1.224745,0,2.291288,1
47.906767,0,0.183661,4.582576,2,1.732051,1.414214,1
52.782011,0,0.052093,2,2.44949,4.242641,3.464102,1
19.683245,0,0.003352,2,1.118034,1,1.414214,1
23.44127,0,0.021582,3.162278,0,1.732051,2.236068,1
12.725714,0,0.083507,6,0,0,1.5,1
19.229617,0,0.011265,2.291288,1,1.732051,1,1
52.547187,0,0.084748,19.5,2,1.732051,1.414214,1
26.251521,0,0.011411,3.640055,3,1.414214,1,1
10.143678,0,0.079321,14.177447,0,1.732051,1.414214,1
12.032567,0,0.192866,2.061553,4.123106,3.5,1.118034,1
4.029655,0,0.051372,12.083046,1.414214,2.236068,0,1
18.083072,0,0.091017,5.196152,3.041381,2.44949,1.414214,1
21.65883,0,0.037652,2.44949,1,1.802776,1.118034,1
29.524631,0,0.062807,4.690416,1.414214,1.414214,1.414214,1
6.701434,0,0.024755,6.403124,1,2.236068,1,1
7.596632,0,0.12921,7.211103,3.162278,1,0,1
24.092396,0,0.007782,4.242641,3,1.732051,2.236068,1
3.33354,0,0.090766,7.141428,2,2.236068,1.414214,1
13.252205,0,0.016978,5.567764,0,3.162278,2.44949,1
30.650623,0,0.069424,6.123724,1,1,0,1
9.852898,0.042553,0.009743,5.291503,3,1.732051,1,1
47.246242,0,0.032342,7.615773,2,1.414214,2.236068,1
26.944757,0.061224,0.072782,1.414214,2.44949,3.162278,3,1
19.870951,0,0.040838,2,3,3.041381,2.236068,1
85.355799,0,0.005802,13.928388,3.872983,3.354102,1.414214,1
15.789068,0,0.070879,8.3666,3,1.414214,1.414214,1
39.471362,0.016949,0.02377,9,2.236068,2,1.414214,1
6.268678,0,0.089835,3.316625,3,1.802776,1.414214,1
20.110345,0,0.07216,4.690416,3,2,2.061553,1
6.953202,0,0.04775,3.041381,2,2.236068,2,1
81.05245,0,0.071047,18.411953,2.645751,1.732051,1.732051,1
26.404095,0,0.058422,3.872983,2.12132,1.414214,1.414214,1
1.670047,0,0.034489,3.464102,1,3.162278,2,1
1.92403,0,0.047786,7.088723,1,2,0.5,1
0.189655,0,0.035147,3.640055,3,2,2,1
31.740577,0,0.029809,7.28011,1,4,3,1
18.114693,0,0.083383,8.485281,4.123106,1.732051,3.162278,1
8.520022,0,0.035147,2.645751,4.242641,1.414214,2,1
49.337618,0,0.0661,12.369317,2.236068,5.196152,1.414214,1
14.017718,0.004608,0.113488,11.090537,1,1.732051,2,1
13.247845,0,0.067994,5.5,2.236068,4.153312,3,1
27.508458,0.018868,0.010761,6.708204,1.802776,3.201562,1,1
34.446708,0,0.076814,9.604686,2.236068,4.242641,1.414214,1
26.890345,0,0.076374,9.656604,2,1.118034,2.291288,1
26.310345,0,0.12216,11.157957,2.061553,3.082207,1.118034,1
3.446708,0,0.033118,5.196152,3.162278,1.414214,1,1
8.679392,0,0.048585,6.403124,2.236068,3,1.118034,1
11.071214,0,0.148305,5.477226,1,4.582576,3.316625,1
11.884419,0,0.125106,4.358899,3,1.414214,1.414214,1
39.339757,0,0.055731,11.74734,1.414214,3.316625,1.414214,1
12.007528,0,0.031175,7.141428,2,1,1.414214,1
12.207837,0.018182,0.105753,4.123106,3,2.236068,1,1
5.074271,0,0.147045,3.041381,3.162278,5.09902,2.061553,1
45.254789,0,0.056483,19.364917,4.123106,2,1,1
39.224138,0,0.057583,6.708204,3.082207,2,2.291288,1
49.231397,0,0.138774,6.708204,3.464102,1.732051,1.414214,1
54.106641,0,0.007206,5.830952,1.414214,3.741657,3.464102,1
21.007876,0,0.048239,7.615773,1.118034,2.236068,1.414214,1
24.7659,0,0.066469,3.741657,2,1.732051,2.236068,1
14.050345,0,0.03862,1.414214,2,2,1.5,1
20.554247,0,0.056152,7.5,3,1.732051,1,1
26.295666,0,0.096159,16.170962,1,1,1,1
42.403509,0,0.005427,5.766281,2,0,1.414214,1
40.51462,0,0.277613,18.261982,2.236068,3.354102,1.5,1
56.576842,0,0.033376,8.321658,3.162278,2,1.414214,1
34.464115,0,0.006269,14.39618,1.118034,1,1.414214,1
30.888357,0,0.122399,17.327723,1,0.5,0.5,1
23.022556,0,0.147555,15.141004,3.162278,1,1.414214,1
45.845753,0,0.059993,13.313527,1,2,1.732051,1
60.143819,0,0.044462,12.698425,1.414214,2,1.414214,1
28.454791,0,0.076966,15.337862,1,2,2.236068,1
55.880727,0,0.006018,12.459936,0,2,2,1
39.294982,0,0.101726,14.150972,2,2.645751,2.44949,1
21.896564,0,0.015323,14.02676,3,1.414214,1.414214,1
42.694289,0.042553,0.094491,14.256577,1,1.414214,1,1
5.300945,0,0.117089,13.047988,2,1,2.236068,1
79.491944,0.061224,0.15753,20.621591,1.414214,2.645751,3.316625,1
32.676236,0,0.125586,18.200275,1,2.291288,2.236068,1
32.808612,0,0.078946,7.5,5.567764,3.640055,0,1
36.758119,0,0.013869,11.191515,1,2.645751,1.414214,1
13.075825,0.016949,0.060978,11.011358,1,1,1.414214,1
46.278509,0,0.174583,16.680827,1,2.291288,1.414214,1
32.436842,0,0.156907,15.141004,1,3.316625,2.5,1
45.593985,0,0.036998,17.175564,0,2,2.44949,1
28.505263,0,0.013701,3.5,3.872983,2,1,1
26.143092,0,0.14317,16.132266,0.707107,1,1.414214,1
54.217234,0,0.050259,16.378339,1,2.645751,2.44949,1
54.471217,0,0.036961,12.942179,1,2.236068,1.118034,1
52.736842,0,0.119895,16.294171,1,1.732051,2.44949,1
20.80661,0,0.114557,13.009612,1,3.316625,3.316625,1
34.432494,0,0.168131,11.324752,2.236068,0,3.162278,1
44.027165,0,0.119895,18.117671,2.44949,1.732051,2.44949,1
3.209569,0,0.018648,7.158911,4.123106,6.164414,1.414214,1
38.529469,0.004608,0.02874,8.674676,1,2,2.44949,1
39.299342,0,0.152742,14.19507,4.123106,3.354102,3.316625,1
25.038729,0.018868,0.073987,13.086252,1.802776,2.5,1.732051,1
18.100478,0,0.161562,10.074721,1,4.358899,1.414214,1
25.656842,0,0.161122,10.099505,0,1.5,1.5,1
26.236842,0,0.206908,8.440972,0.5,2.345208,1.5,1
49.100478,0,0.117866,14.39618,1.414214,1.732051,1.732051,1
43.867794,0,0.036163,13.313527,1,2.44949,1.5,1
41.475973,0,0.233053,15.041609,1,4.242641,3.316625,1
40.662768,0,0.209853,15.239751,1,2.645751,1.414214,1
