@relation Train

@attribute MeanSentenceLengthFeature numeric
@attribute StopWordsPercentagesFeature numeric
@attribute UniqueWordsPercentages numeric
@attribute PostagNoun numeric
@attribute PostagAdjective numeric
@attribute PostagVerb numeric
@attribute PostagConjunction numeric
@attribute 'Train Feature' numeric

@data
45.083333,0,0.125753,15.107945,4.242641,4.743416,5.123475,0
23.25,0,0.03077,14.097872,3.640055,2.54951,4.1833,0
38.666667,0,0.03169,11.101802,4.153312,3.937004,3.201562,0
12.716667,0,0.141543,11.543396,5.678908,2.915476,3.24037,0
25.75,0,0.065566,14.044572,2.44949,3.5,4.031129,0
38.762821,0,0.054903,14.044572,3.082207,3.807887,2.5,0
30.75,0,0.048642,11.067972,3.201562,4.609772,4.1833,0
35.75,0,0.013875,13.019217,3.162278,4.555217,4.062019,0
21.75,0,0.02516,8.321658,3.162278,1.581139,3.24037,0
11.166667,0,0.118693,12.144958,5.678908,3.201562,3.082207,0
15.316667,0,0.015775,13.152946,3.316625,4.1833,4.272002,0
1.083333,0,0.171584,12.589678,1.5,2.598076,4.1833,0
15.041667,0,0.09903,13.095801,4.123106,2.44949,3.201562,0
25.166667,0,0.183491,14.053469,3.201562,4.555217,3.082207,0
38.916667,0,0.105453,14.089003,5.678908,5.787918,4.062019,0
18.083333,0,0.142815,10.210289,2.5,3.741657,2.345208,0
27.166667,0,0.008372,13.114877,4.582576,4.743416,3.201562,0
7.916667,0,0.06152,11.101802,1,1.802776,4.153312,0
38.316667,0,0.07274,16.155494,4.272002,4.272002,4.1833,0
19.762821,0,0.061774,12.134661,1.5,2.95804,3.041381,0
32.166667,0,0.011736,10.210289,1.118034,3.640055,2.061553,0
34.216667,0,0.045354,15.074813,4.472136,3.082207,4.031129,0
1.666667,0,0.010136,11.067972,1.5,2.54951,3,0
62.916667,0,0.079767,15.297059,4.582576,5.408327,5.5,0
16.070513,0,0.013038,11.269428,1,2.345208,1.224745,0
29.166667,0,0.061008,14.080128,4.153312,4.41588,5.09902,0
28.666667,0,0.029262,13.086252,1.732051,4.1833,4.062019,0
43,0,0.012405,13.057565,3.201562,4.690416,4.062019,0
3.583333,0,0.021326,11.489125,4.472136,3.905125,2.061553,0
12.516667,0,0.037405,14.186261,3.162278,2.692582,3.041381,0
35.202381,0,0.075467,16.186414,4.472136,4.41588,5.220153,0
16.630952,0,0.09542,9.219544,4.123106,1.870829,4.272002,0
17.316667,0,0.004874,13.009612,2.5,3.535534,3.201562,0
19.516667,0,0.047444,10.111874,2.236068,3.937004,4.031129,0
41.97549,0,0.018983,15.074813,3.354102,4.821825,4.153312,0
4.083333,0,0.003851,3.464102,3,2.12132,1.118034,0
16.083333,0,0.070929,9.861541,2.236068,1.224745,3.24037,0
13.833333,0,0.008226,11.236103,4.821825,3.535534,3.082207,0
27.016667,0,0.034995,12.041595,3.201562,3.24037,3.082207,0
1.283333,0,0.082359,14,1.414214,3.24037,3.041381,0
0.616667,0,0.012991,11.056672,3.162278,1.870829,3.082207,0
26.416667,0,0.142007,16.077935,3.201562,5.612486,5.09902,0
30.783333,0,0.033648,7.762087,2.44949,2.12132,3.201562,0
23.916667,0,0.058248,13.152946,3.162278,3.24037,3.201562,0
39.202381,0,0.066677,15.066519,4.123106,4.41588,5.123475,0
